id	description	genome_fraction	observed_region_hits	fold_enrichment	p_value	p_adjust	mean_tss_dist	observed_gene_hits	gene_set_size	fold_enrichment_hyper	p_value_hyper	p_adjust_hyper	sample	genome	ontology	ontology_input
GO:0033554	cellular response to stress	0.155480609161927	23502	1.28959341494532	0	0	139347	1827	1840	1.04914185189697	4.38317503401793e-30	1.28214939382176e-27	Human_AdrenalGland_idr.optimal_peak	hg38	BP	GO:BP
GO:0002376	immune system process	0.195538453123389	29257	1.27650298551053	0	0	137663	2462	2597	1.00168134729189	0.369751811012167	0.834495847113272	Human_AdrenalGland_idr.optimal_peak	hg38	BP	GO:BP
GO:0009056	catabolic process	0.197049819773779	29464	1.27567452331437	0	0	128151	2564	2631	1.02969987607349	3.59333871323641e-14	2.78499106424169e-12	Human_AdrenalGland_idr.optimal_peak	hg38	BP	GO:BP
GO:0006950	response to stress	0.29653441027717	43527	1.25229849035454	0	0	135148	3784	3930	1.01735392526629	5.28652651626474e-08	1.77548972035143e-06	Human_AdrenalGland_idr.optimal_peak	hg38	BP	GO:BP
GO:1902531	regulation of intracellular signal transduction	0.196424300632535	28464	1.23630302993636	0	0	151424	1915	1942	1.04191679937232	1.49775020275155e-21	1.81087984514014e-19	Human_AdrenalGland_idr.optimal_peak	hg38	BP	GO:BP
GO:0006996	organelle organization	0.285762801360086	40446	1.20751935663583	0	0	138649	3474	3522	1.04220691458238	4.56420307332742e-41	2.75921289792887e-38	Human_AdrenalGland_idr.optimal_peak	hg38	BP	GO:BP
GO:0035556	intracellular signal transduction	0.285586500440999	40385	1.20644250840576	0	0	151531	2901	2942	1.04188203139361	4.02454505579166e-33	1.40363748330457e-30	Human_AdrenalGland_idr.optimal_peak	hg38	BP	GO:BP
GO:0009966	regulation of signal transduction	0.3025241583647	42122	1.1878815604309	0	0	155584	2983	3024	1.04228131983793	6.96849004863426e-35	2.87228489822797e-32	Human_AdrenalGland_idr.optimal_peak	hg38	BP	GO:BP
GO:0048583	regulation of response to stimulus	0.364180723537077	50322	1.1788679411284	0	0	151092	3887	3971	1.0342562196774	1.64716847593986e-29	4.52621931509778e-27	Human_AdrenalGland_idr.optimal_peak	hg38	BP	GO:BP
GO:0019538	protein metabolic process	0.346530443445217	47879	1.17876679943665	0	0	139495	4181	4293	1.0290412087851	6.9097790196368e-23	9.94569462699469e-21	Human_AdrenalGland_idr.optimal_peak	hg38	BP	GO:BP
GO:0009893	positive regulation of metabolic process	0.325779354621808	44912	1.17615092662141	0	0	152780	3446	3508	1.03793265589389	4.71269510205642e-32	1.52623997090884e-29	Human_AdrenalGland_idr.optimal_peak	hg38	BP	GO:BP
GO:0010604	positive regulation of macromolecule metabolic process	0.303629123197271	41760	1.1733870286311	0	0	155485	3149	3204	1.03846924933518	6.14930297720471e-30	1.74255873116539e-27	Human_AdrenalGland_idr.optimal_peak	hg38	BP	GO:BP
GO:0051234	establishment of localization	0.383887998258357	51551	1.14566271110462	0	0	140606	4557	4631	1.0397232012783	6.80675183097918e-49	6.85818062259102e-46	Human_AdrenalGland_idr.optimal_peak	hg38	BP	GO:BP
GO:0006139	nucleobase-containing compound metabolic process	0.429241039330614	57600	1.1448417636921	0	0	144457	5430	5549	1.03394775003696	3.7431544687194e-43	2.82857706019563e-40	Human_AdrenalGland_idr.optimal_peak	hg38	BP	GO:BP
GO:0051179	localization	0.427465692084605	57244	1.1424913666497	0	0	140228	5156	5235	1.0406620332726	7.98093411787327e-60	1.4474222116175e-56	Human_AdrenalGland_idr.optimal_peak	hg38	BP	GO:BP
GO:0010467	gene expression	0.470696179865531	63016	1.14217954238215	0	0	146013	5956	6132	1.02628039013023	6.66583144816174e-29	1.59067788347186e-26	Human_AdrenalGland_idr.optimal_peak	hg38	BP	GO:BP
GO:0090304	nucleic acid metabolic process	0.398144558504907	53279	1.14166713368527	0	0	147563	4882	4994	1.03291057737465	1.8653671915612e-35	8.45757484653847e-33	Human_AdrenalGland_idr.optimal_peak	hg38	BP	GO:BP
GO:0019222	regulation of metabolic process	0.499081313078047	66776	1.14149315046474	0	0	146570	6124	6296	1.02774163436767	2.25457781655514e-33	8.17780465620881e-31	Human_AdrenalGland_idr.optimal_peak	hg38	BP	GO:BP
GO:0080090	regulation of primary metabolic process	0.43901322357109	58636	1.13949113992251	0	0	149035	5150	5277	1.03117796136466	7.40183021290792e-34	2.91825201611518e-31	Human_AdrenalGland_idr.optimal_peak	hg38	BP	GO:BP
