id	description	genome_fraction	observed_region_hits	fold_enrichment	p_value	p_adjust	mean_tss_dist	observed_gene_hits	gene_set_size	fold_enrichment_hyper	p_value_hyper	p_adjust_hyper	sample	genome	ontology	ontology_input
GO:0070062	extracellular exosome	0.152121240817736	23548	1.32065197853781	0	0	114141	2016	2080	1.02409602519386	1.06447420276594e-07	1.84046046941994e-06	Human_AdrenalGland_idr.optimal_peak	hg38	CC	GO:CC
GO:0043230	extracellular organelle	0.155053150782467	23798	1.30943541527515	0	0	115091	2045	2111	1.02357239966685	1.6375090946037e-07	2.57045835508186e-06	Human_AdrenalGland_idr.optimal_peak	hg38	CC	GO:CC
GO:0065010	extracellular membrane-bounded organelle	0.155053150782467	23798	1.30943541527515	0	0	115091	2045	2111	1.02357239966685	1.6375090946037e-07	2.57045835508186e-06	Human_AdrenalGland_idr.optimal_peak	hg38	CC	GO:CC
GO:1903561	extracellular vesicle	0.155003085409055	23784	1.30908778797981	0	0	115127	2044	2110	1.02355674345337	1.68222202768428e-07	2.60635179094461e-06	Human_AdrenalGland_idr.optimal_peak	hg38	CC	GO:CC
GO:0005739	mitochondrion	0.128137018514998	19620	1.30631708465864	0	0	124101	1767	1782	1.04771301171896	5.65328337749453e-27	4.21522941834435e-25	Human_AdrenalGland_idr.optimal_peak	hg38	CC	GO:CC
GO:0005829	cytosol	0.406962348140446	59654	1.25057446803485	0	0	132866	5285	5472	1.02049854687274	1.7591032519514e-15	7.03762930319268e-14	Human_AdrenalGland_idr.optimal_peak	hg38	CC	GO:CC
GO:0097708	intracellular vesicle	0.206559661797981	29815	1.23144074250152	0	0	130760	2458	2520	1.03061112336371	2.09934389384772e-14	7.82661645425103e-13	Human_AdrenalGland_idr.optimal_peak	hg38	CC	GO:CC
GO:0031410	cytoplasmic vesicle	0.205632199861948	29666	1.23081304100026	0	0	130817	2450	2512	1.03052833391544	2.78348260858304e-14	1.00627113698169e-12	Human_AdrenalGland_idr.optimal_peak	hg38	CC	GO:CC
GO:0005654	nucleoplasm	0.332515319653645	47510	1.21898283417228	0	0	140888	4086	4144	1.0418185915427	2.51341281353002e-48	2.72591044231029e-46	Human_AdrenalGland_idr.optimal_peak	hg38	CC	GO:CC
GO:0031982	vesicle	0.304523216727873	43504	1.21880155591425	0	0	127564	3853	3966	1.02650196923723	1.89833013645122e-17	9.8465558816796e-16	Human_AdrenalGland_idr.optimal_peak	hg38	CC	GO:CC
GO:0031981	nuclear lumen	0.35590691328901	50474	1.20991682982985	0	0	139455	4428	4491	1.04178486769411	5.58695132066174e-53	6.66523292554946e-51	Human_AdrenalGland_idr.optimal_peak	hg38	CC	GO:CC
GO:0031090	organelle membrane	0.288461245161549	40840	1.20787635006544	0	0	129966	3692	3758	1.03805031436015	7.45039480111061e-35	6.34880071266068e-33	Human_AdrenalGland_idr.optimal_peak	hg38	CC	GO:CC
GO:0031974	membrane-enclosed lumen	0.423290323001344	59611	1.20146821435444	0	0	134761	5547	5639	1.03936852015237	5.5831567530713e-61	7.40078445157117e-59	Human_AdrenalGland_idr.optimal_peak	hg38	CC	GO:CC
GO:0043233	organelle lumen	0.423290323001344	59611	1.20146821435444	0	0	134761	5547	5639	1.03936852015237	5.5831567530713e-61	7.40078445157117e-59	Human_AdrenalGland_idr.optimal_peak	hg38	CC	GO:CC
GO:0070013	intracellular organelle lumen	0.423290323001344	59611	1.20146821435444	0	0	134761	5547	5639	1.03936852015237	5.5831567530713e-61	7.40078445157117e-59	Human_AdrenalGland_idr.optimal_peak	hg38	CC	GO:CC
GO:0012505	endomembrane system	0.376668592857941	51402	1.16424619175742	0	0	134813	4636	4756	1.02994745561802	1.83975338434179e-27	1.46321719167984e-25	Human_AdrenalGland_idr.optimal_peak	hg38	CC	GO:CC
GO:0043228	membraneless organelle	0.423068179458851	57634	1.16223143834473	0	0	145819	5102	5274	1.02214807842919	3.93735484728322e-17	1.93819187925519e-15	Human_AdrenalGland_idr.optimal_peak	hg38	CC	GO:CC
GO:0043232	intracellular membraneless organelle	0.42305364169307	57631	1.16221087787352	0	0	145825	5101	5273	1.02214154345257	4.06159237061021e-17	1.93819187925519e-15	Human_AdrenalGland_idr.optimal_peak	hg38	CC	GO:CC
GO:0032991	protein-containing complex	0.420726505780434	56875	1.15330919518687	0	0	140858	5384	5518	1.03094819544936	3.01401443620149e-35	2.76593786337567e-33	Human_AdrenalGland_idr.optimal_peak	hg38	CC	GO:CC
GO:0005634	nucleus	0.540019298985346	72328	1.14267149567195	0	0	139290	7292	7485	1.02936250070805	1.21224906199038e-47	1.20517760912877e-45	Human_AdrenalGland_idr.optimal_peak	hg38	CC	GO:CC
GO:0005737	cytoplasm	0.755929675426356	101126	1.14131533582284	0	0	137739	11608	11997	1.02234676781533	5.4805500487081e-64	1.08971603468479e-61	Human_AdrenalGland_idr.optimal_peak	hg38	CC	GO:CC
GO:0043231	intracellular membrane-bounded organelle	0.752172530158898	99488	1.12843734409238	0	0	137299	11718	12009	1.03100349276324	1.16656073953071e-121	6.95853481130069e-119	Human_AdrenalGland_idr.optimal_peak	hg38	CC	GO:CC
GO:0043229	intracellular organelle	0.789252063264588	104112	1.12540614422876	0	0	137679	12677	13075	1.02444413516631	6.51868297712947e-94	1.55535775834309e-91	Human_AdrenalGland_idr.optimal_peak	hg38	CC	GO:CC
GO:0043227	membrane-bounded organelle	0.789126806048902	103364	1.11749793553375	0	0	137354	12657	12993	1.02928306989125	6.79010394967568e-131	8.10059401196309e-128	Human_AdrenalGland_idr.optimal_peak	hg38	CC	GO:CC
GO:0005622	intracellular anatomical structure	0.839869873819097	109637	1.11370292027949	0	0	139110	14130	14622	1.02105437375221	1.47328871343564e-99	4.39408358782181e-97	Human_AdrenalGland_idr.optimal_peak	hg38	CC	GO:CC
GO:0043226	organelle	0.824077108097291	106997	1.10771482811977	0	0	139140	13380	13816	1.02326301356502	9.06506208938177e-100	3.60487302421082e-97	Human_AdrenalGland_idr.optimal_peak	hg38	CC	GO:CC
GO:0110165	cellular anatomical structure	0.929756114070886	115768	1.06229149876542	0	0	140816	16808	17725	1.00194361783401	6.52776972897446e-07	9.27098724603158e-06	Human_AdrenalGland_idr.optimal_peak	hg38	CC	GO:CC
GO:0005575	cellular_component	0.931012191739998	115835	1.06147227031145	0	0	140756	16867	17786	1.00201228155319	1.09269125183405e-07	1.86225809062574e-06	Human_AdrenalGland_idr.optimal_peak	hg38	CC	GO:CC
GO:0005856	cytoskeleton	0.203605367683942	29098	1.2192650773084	2.81535196138431e-300	1.15817754825223e-298	145789	2252	2370	1.00399957248595	0.204887708634685	0.614148332666279	Human_AdrenalGland_idr.optimal_peak	hg38	CC	GO:CC
GO:0016020	membrane	0.65931906985488	82925	1.07303542844344	4.63663232250601e-272	1.84383412024989e-270	140990	8654	9119	1.00272804754733	0.0660191471850239	0.264317345901166	Human_AdrenalGland_idr.optimal_peak	hg38	CC	GO:CC
GO:0098588	bounding membrane of organelle	0.189760346338674	26911	1.20989753051239	1.40353771779717e-252	5.40135644300652e-251	135905	2185	2217	1.04135602937015	6.62472020435627e-24	4.3907173354428e-22	Human_AdrenalGland_idr.optimal_peak	hg38	CC	GO:CC
