id	description	genome_fraction	observed_region_hits	fold_enrichment	p_value	p_adjust	mean_tss_dist	observed_gene_hits	gene_set_size	fold_enrichment_hyper	p_value_hyper	p_adjust_hyper	sample	genome	ontology	ontology_input
GO:0019899	enzyme binding	0.180202742135461	27204	1.28793987483761	0	0	137167	2015	2052	1.03755512933387	7.31565349813766e-18	9.41004480139933e-16	Human_AdrenalGland_idr.optimal_peak	hg38	MF	GO:MF
GO:0003824	catalytic activity	0.415498740591788	56021	1.15028475377756	0	0	131681	5313	5448	1.03042456768924	1.7657754784598e-33	9.54843089977139e-31	Human_AdrenalGland_idr.optimal_peak	hg38	MF	GO:MF
GO:0005515	protein binding	0.843117440899637	109576	1.10879583992434	0	0	140291	13837	14308	1.02182493703099	8.16750599155225e-99	1.76663154597275e-95	Human_AdrenalGland_idr.optimal_peak	hg38	MF	GO:MF
GO:0005488	binding	0.897082444117382	113798	1.0822472480737	0	0	140848	15434	16060	1.0154217057411	3.93667593320992e-85	4.25751502176652e-82	Human_AdrenalGland_idr.optimal_peak	hg38	MF	GO:MF
GO:0003674	molecular_function	0.92051304364007	115450	1.07001091734524	0	0	140758	16532	17417	1.00291824604206	6.05782509990249e-10	3.04722690490444e-08	Human_AdrenalGland_idr.optimal_peak	hg38	MF	GO:MF
GO:0044877	protein-containing complex binding	0.106856950683138	16611	1.3262250290086	5.2078530071824e-300	1.87743100908926e-297	132902	1250	1278	1.03345756075963	4.93241746233763e-09	2.17730999408904e-07	Human_AdrenalGland_idr.optimal_peak	hg38	MF	GO:MF
GO:0036094	small molecule binding	0.49281964439942	63994	1.10783597593334	1.73755657142276e-290	5.36904980569631e-288	140262	6032	6203	1.02747920120067	4.2396749179936e-32	1.52840280793669e-29	Human_AdrenalGland_idr.optimal_peak	hg38	MF	GO:MF
GO:0043167	ion binding	0.481398160894301	62510	1.10782022728509	4.41660842536502e-277	1.19414050300807e-274	141070	5850	6012	1.02813556374015	2.52247436679527e-32	1.09122241107563e-29	Human_AdrenalGland_idr.optimal_peak	hg38	MF	GO:MF
GO:0030234	enzyme regulator activity	0.118297247807552	17823	1.2853765858547	1.11510359001103e-260	2.67996562799317e-258	139509	1276	1325	1.01753248672751	0.00224368397424023	0.0287164996229681	Human_AdrenalGland_idr.optimal_peak	hg38	MF	GO:MF
GO:0060090	molecular adaptor activity	0.118284496838609	17762	1.28111541633151	3.00419102910556e-253	6.49806519595533e-251	152269	1210	1243	1.02855549657762	1.27138039699182e-06	3.39505654159667e-05	Human_AdrenalGland_idr.optimal_peak	hg38	MF	GO:MF
GO:0003723	RNA binding	0.119509651586858	17692	1.26298493073072	1.60564204355729e-225	3.15727612746765e-223	117715	1621	1656	1.03427534022075	5.26581748366665e-12	3.25427520490599e-10	Human_AdrenalGland_idr.optimal_peak	hg38	MF	GO:MF
GO:0043168	anion binding	0.206276953025248	28583	1.18217377267774	3.97388535641345e-213	7.16292835493525e-211	135158	2349	2393	1.03717921720577	2.0362096011321e-20	4.00392851568067e-18	Human_AdrenalGland_idr.optimal_peak	hg38	MF	GO:MF
GO:0030674	protein-macromolecule adaptor activity	0.105674754629392	15772	1.27332638609643	2.30977258808031e-211	3.8431062369367e-209	149338	1069	1099	1.02776423459415	1.03105571390891e-05	0.000242410164041845	Human_AdrenalGland_idr.optimal_peak	hg38	MF	GO:MF
GO:1901265	nucleoside phosphate binding	0.178682982748158	25092	1.19805375240534	1.28396247988819e-209	1.98372203142725e-207	130917	2087	2121	1.03966941542753	8.28140047147265e-21	1.99029657997726e-18	Human_AdrenalGland_idr.optimal_peak	hg38	MF	GO:MF
