id	description	genome_fraction	observed_region_hits	fold_enrichment	p_value	p_adjust	mean_tss_dist	observed_gene_hits	gene_set_size	fold_enrichment_hyper	p_value_hyper	p_adjust_hyper	sample	genome	ontology	ontology_input
GO:0006950	response to stress	0.29653441027717	24192	1.26822592842126	0	0	137609	3614	3930	1.01761523103195	5.90779740077299e-05	0.000852867694831336	Human_Uterus_idr.optimal_peak	hg38	BP	GO:BP
GO:0048518	positive regulation of biological process	0.519234451990383	38274	1.14588306907649	0	0	148118	5784	6118	1.04618096140301	1.62967505138484e-45	7.38731700792747e-43	Human_Uterus_idr.optimal_peak	hg38	BP	GO:BP
GO:0044238	primary metabolic process	0.646785645554604	47226	1.13506502232903	0	0	139816	8964	9465	1.04801917876783	7.30938051294929e-96	3.31334218651991e-92	Human_Uterus_idr.optimal_peak	hg38	BP	GO:BP
GO:0043170	macromolecule metabolic process	0.617039417041903	44908	1.13138588649088	0	0	144337	8160	8628	1.04656937724403	6.11603981424037e-77	1.10896033911806e-73	Human_Uterus_idr.optimal_peak	hg38	BP	GO:BP
GO:0008152	metabolic process	0.701229489219863	50936	1.12918374136359	0	0	138892	10033	10643	1.04316918797752	1.28906347303413e-96	1.16866494465274e-92	Human_Uterus_idr.optimal_peak	hg38	BP	GO:BP
GO:0050896	response to stimulus	0.628050635449089	45206	1.11892601739309	0	0	143122	7697	8568	0.994099898577712	0.989482851808048	1	Human_Uterus_idr.optimal_peak	hg38	BP	GO:BP
GO:0050789	regulation of biological process	0.773160820092214	53968	1.08509168791817	0	0	143641	10392	11396	1.00910114336068	1.01536468082361e-06	2.19696806595391e-05	Human_Uterus_idr.optimal_peak	hg38	BP	GO:BP
GO:0050794	regulation of cellular process	0.759703459452183	53012	1.08475094248687	0	0	144044	10065	11014	1.01124574635358	9.08434653222534e-09	2.85967658545677e-07	Human_Uterus_idr.optimal_peak	hg38	BP	GO:BP
GO:0065007	biological regulation	0.785117370786668	54693	1.08292183477828	0	0	143149	10750	11785	1.00940831553862	1.46108768777483e-07	3.76313095947915e-06	Human_Uterus_idr.optimal_peak	hg38	BP	GO:BP
GO:0009987	cellular process	0.90966242385352	62581	1.06945420923232	0	0	139467	14962	16344	1.01302298064515	7.16352446863581e-43	2.82367447098488e-40	Human_Uterus_idr.optimal_peak	hg38	BP	GO:BP
GO:0008150	biological_process	0.91896900437635	62964	1.06510248438128	0	0	139595	15281	16777	1.00791862844317	6.71353449117459e-22	7.1605769055281e-20	Human_Uterus_idr.optimal_peak	hg38	BP	GO:BP
GO:0009058	biosynthetic process	0.55598459187319	40524	1.13305111245241	5.32150103272144e-317	4.02039403022105e-314	141833	7161	7556	1.04874456999688	1.49928159639819e-68	2.26541449215767e-65	Human_Uterus_idr.optimal_peak	hg38	BP	GO:BP
GO:0019222	regulation of metabolic process	0.499081313078047	36872	1.14848502534706	1.46250004540937e-310	1.01992503166779e-307	148593	5947	6296	1.04525251190581	2.07281830180752e-45	8.94865272580333e-43	Human_Uterus_idr.optimal_peak	hg38	BP	GO:BP
GO:0051716	cellular response to stimulus	0.56042274297869	40706	1.12912657159178	2.98023475746201e-304	1.9299148793679e-301	145402	6494	7184	1.00030850506365	0.46997148116662	0.747512180289811	Human_Uterus_idr.optimal_peak	hg38	BP	GO:BP
GO:0010467	gene expression	0.470696179865531	34977	1.1551591813632	4.87065707898497e-301	2.94382513853851e-298	147178	5802	6132	1.04704073705622	2.13318290103254e-47	1.13761389298594e-44	Human_Uterus_idr.optimal_peak	hg38	BP	GO:BP
GO:0048522	positive regulation of cellular process	0.502024863603779	36954	1.14429019999509	5.76365921473906e-297	3.26583340255152e-294	149290	5479	5781	1.0487846727323	3.3211380825602e-47	1.67274654758282e-44	Human_Uterus_idr.optimal_peak	hg38	BP	GO:BP
GO:0002376	immune system process	0.195538453123389	16395	1.30340444181787	1.37428627017063e-294	7.32898783845113e-292	140637	2321	2597	0.988988386019762	0.969463566605111	1	Human_Uterus_idr.optimal_peak	hg38	BP	GO:BP
GO:0060255	regulation of macromolecule metabolic process	0.468892648954547	34659	1.14905959819888	6.28639364909429e-276	3.16624693459383e-273	151347	5454	5767	1.04653361588973	9.76951504028002e-43	3.69043430646578e-40	Human_Uterus_idr.optimal_peak	hg38	BP	GO:BP
GO:0009059	macromolecule biosynthetic process	0.505203940436514	36953	1.13705879995542	1.17336802616616e-271	5.59881817116971e-269	146280	6217	6558	1.04905306212809	1.3391796438777e-56	1.21410026513952e-53	Human_Uterus_idr.optimal_peak	hg38	BP	GO:BP
GO:0048583	regulation of response to stimulus	0.364180723537077	27703	1.18252355004349	2.87745320865897e-263	1.30434953948511e-260	148775	3755	3971	1.04640078077289	6.16110495100958e-27	8.46311780088679e-25	Human_Uterus_idr.optimal_peak	hg38	BP	GO:BP
GO:0035556	intracellular signal transduction	0.285586500440999	22386	1.21853715401491	4.49807240627548e-259	1.94188211596636e-256	151087	2820	2942	1.06070457167616	1.59360827974537e-33	3.210589480927e-31	Human_Uterus_idr.optimal_peak	hg38	BP	GO:BP
GO:0030097	hemopoiesis	0.0916210542038441	8559	1.45220421431382	1.02343950844998e-258	4.21750117436706e-256	163972	905	960	1.0431946398986	4.80587882093127e-06	9.07710362303394e-05	Human_Uterus_idr.optimal_peak	hg38	BP	GO:BP
GO:0048523	negative regulation of cellular process	0.453800411077241	33534	1.14873651417148	5.43399347439843e-258	2.14193847125636e-255	153052	4768	5033	1.04832831737385	8.44456795858054e-39	2.31995312462095e-36	Human_Uterus_idr.optimal_peak	hg38	BP	GO:BP
GO:0080090	regulation of primary metabolic process	0.43901322357109	32492	1.1505322418111	2.35784053539316e-248	8.90674262244767e-246	151494	5013	5277	1.05123209353615	2.06742343730995e-46	9.86487414876421e-44	Human_Uterus_idr.optimal_peak	hg38	BP	GO:BP
GO:0048519	negative regulation of biological process	0.466420839005559	34247	1.14141753165633	4.68109691644217e-246	1.69755298577859e-243	151941	4951	5238	1.04596085884335	7.77991768897075e-37	1.8561245728476e-34	Human_Uterus_idr.optimal_peak	hg38	BP	GO:BP
GO:0009889	regulation of biosynthetic process	0.429413848353726	31788	1.1507662310979	2.76368585580281e-239	9.63675998796471e-237	151403	4871	5164	1.04380625907969	7.41217086561963e-33	1.4297604482491e-30	Human_Uterus_idr.optimal_peak	hg38	BP	GO:BP
GO:0010468	regulation of gene expression	0.410563182895438	30523	1.15570546249113	1.77581558586624e-235	5.96279411165308e-233	152171	4597	4879	1.04263352788969	5.06347910031007e-29	7.65091692056851e-27	Human_Uterus_idr.optimal_peak	hg38	BP	GO:BP
GO:0010556	regulation of macromolecule biosynthetic process	0.418647931383668	31019	1.15180456128605	8.56064558368215e-232	2.77181474505937e-229	152492	4708	4992	1.04363798653689	2.90549694571317e-31	5.06562217496839e-29	Human_Uterus_idr.optimal_peak	hg38	BP	GO:BP
GO:0070887	cellular response to chemical stimulus	0.204518242154758	16551	1.25803330375316	2.74746783214455e-228	8.58915288490432e-226	152396	2036	2182	1.03254985054018	1.40427651811462e-07	3.63747740377917e-06	Human_Uterus_idr.optimal_peak	hg38	BP	GO:BP
GO:0006139	nucleobase-containing compound metabolic process	0.429241039330614	31673	1.14706469737392	1.14463935014133e-227	3.45910011612711e-225	148568	5301	5549	1.05713652943457	3.65618746861001e-62	4.73528508434548e-59	Human_Uterus_idr.optimal_peak	hg38	BP	GO:BP
GO:0009893	positive regulation of metabolic process	0.325779354621808	24830	1.18482200594736	1.05382882030491e-226	3.08193938222073e-224	156763	3360	3508	1.05990683660927	1.30396182112604e-39	3.94057262344289e-37	Human_Uterus_idr.optimal_peak	hg38	BP	GO:BP
GO:0009966	regulation of signal transduction	0.3025241583647	23204	1.19234722777791	1.51849375053301e-219	4.30208260697882e-217	153270	2901	3024	1.06158296951533	1.27642043929914e-35	2.9671865904323e-33	Human_Uterus_idr.optimal_peak	hg38	BP	GO:BP
GO:0042221	response to chemical	0.316119940443573	24056	1.18296385338116	1.84309807399394e-212	5.06349307237245e-210	147911	3327	3844	0.957761604298275	1	1	Human_Uterus_idr.optimal_peak	hg38	BP	GO:BP
GO:0090304	nucleic acid metabolic process	0.398144558504907	29439	1.14942918464172	5.50685797532863e-206	1.46838748248028e-203	152084	4767	4994	1.0562935178481	1.0376378579459e-52	8.55202256376137e-50	Human_Uterus_idr.optimal_peak	hg38	BP	GO:BP
GO:1902531	regulation of intracellular signal transduction	0.196424300632535	15807	1.25099100981106	1.13452239621895e-205	2.93873715546314e-203	149929	1863	1942	1.06157731652499	2.34427805469667e-22	2.53014581474762e-20	Human_Uterus_idr.optimal_peak	hg38	BP	GO:BP
GO:0007165	signal transduction	0.49006692643123	35396	1.12279053630049	3.92571284909396e-205	9.88625352496829e-203	147740	5225	5840	0.990059848961508	0.997617602853837	1	Human_Uterus_idr.optimal_peak	hg38	BP	GO:BP
GO:0010604	positive regulation of macromolecule metabolic process	0.303629123197271	23111	1.18324659397568	8.09966628246093e-201	1.98463714910245e-198	158470	3074	3204	1.06169398408286	4.12734421700121e-38	1.0691000763238e-35	Human_Uterus_idr.optimal_peak	hg38	BP	GO:BP
GO:0034654	nucleobase-containing compound biosynthetic process	0.380049405147045	28157	1.15171831880151	2.36732124792596e-196	5.64793011413074e-194	151068	4453	4660	1.05743767391689	1.65431469635559e-50	1.15369361824306e-47	Human_Uterus_idr.optimal_peak	hg38	BP	GO:BP
