id	description	genome_fraction	observed_region_hits	fold_enrichment	p_value	p_adjust	mean_tss_dist	observed_gene_hits	gene_set_size	fold_enrichment_hyper	p_value_hyper	p_adjust_hyper	sample	genome	ontology	ontology_input
GO:0005829	cytosol	0.406962348140446	32136	1.22754533198849	0	0	135931	5175	5472	1.04653140670258	6.37201181050251e-40	5.42531291294214e-38	Human_Uterus_idr.optimal_peak	hg38	CC	GO:CC
GO:0031974	membrane-enclosed lumen	0.423290323001344	32558	1.1956920170141	0	0	137074	5441	5639	1.06773783492052	1.16647652003998e-91	1.54493334654184e-89	Human_Uterus_idr.optimal_peak	hg38	CC	GO:CC
GO:0043233	organelle lumen	0.423290323001344	32558	1.1956920170141	0	0	137074	5441	5639	1.06773783492052	1.16647652003998e-91	1.54493334654184e-89	Human_Uterus_idr.optimal_peak	hg38	CC	GO:CC
GO:0070013	intracellular organelle lumen	0.423290323001344	32558	1.1956920170141	0	0	137074	5441	5639	1.06773783492052	1.16647652003998e-91	1.54493334654184e-89	Human_Uterus_idr.optimal_peak	hg38	CC	GO:CC
GO:0005634	nucleus	0.540019298985346	39870	1.14772252686765	0	0	141626	7129	7485	1.05396165507053	2.41350167239315e-83	2.6153581759024e-81	Human_Uterus_idr.optimal_peak	hg38	CC	GO:CC
GO:0005737	cytoplasm	0.755929675426356	55137	1.13386588482101	0	0	136020	11245	11997	1.0372293604371	6.45557151409365e-94	1.28250687413327e-91	Human_Uterus_idr.optimal_peak	hg38	CC	GO:CC
GO:0043231	intracellular membrane-bounded organelle	0.752172530158898	54563	1.12766661471358	0	0	136428	11389	12009	1.04946207505079	4.85868967370934e-164	2.89577904553077e-161	Human_Uterus_idr.optimal_peak	hg38	CC	GO:CC
GO:0043229	intracellular organelle	0.789252063264588	57232	1.12725753714565	0	0	136768	12312	13075	1.04201725364075	7.9176468497534e-148	2.35945876122651e-145	Human_Uterus_idr.optimal_peak	hg38	CC	GO:CC
GO:0043227	membrane-bounded organelle	0.789126806048902	56780	1.11853233347826	0	0	136441	12268	12993	1.04484610868538	8.5288542382581e-165	1.01663942520037e-161	Human_Uterus_idr.optimal_peak	hg38	CC	GO:CC
GO:0005622	intracellular anatomical structure	0.839869873819097	60385	1.11767881233868	0	0	137701	13688	14622	1.03590807325786	2.30604185413455e-156	9.16267296709462e-154	Human_Uterus_idr.optimal_peak	hg38	CC	GO:CC
GO:0043226	organelle	0.824077108097291	58721	1.10770864121273	0	0	137624	12957	13816	1.03779156132528	6.42803931349447e-142	1.53244457233708e-139	Human_Uterus_idr.optimal_peak	hg38	CC	GO:CC
GO:0110165	cellular anatomical structure	0.929756114070886	63645	1.06413125389752	0	0	138487	16061	17725	1.00270767461477	2.1933843720338e-07	3.2277952734127e-06	Human_Uterus_idr.optimal_peak	hg38	CC	GO:CC
GO:0005575	cellular_component	0.931012191739998	63702	1.06364732072393	0	0	138354	16118	17786	1.00281509869953	2.5925149332045e-08	4.29205250052746e-07	Human_Uterus_idr.optimal_peak	hg38	CC	GO:CC
GO:0031981	nuclear lumen	0.35590691328901	27390	1.19634257669363	8.44335670558647e-293	7.18891513789934e-291	142837	4358	4491	1.07382168906283	8.93772671694112e-84	1.06537702465938e-81	Human_Uterus_idr.optimal_peak	hg38	CC	GO:CC
GO:0005654	nucleoplasm	0.332515319653645	25793	1.20584128822379	9.69526901105979e-289	7.70450710745551e-287	143645	4025	4144	1.07481603931616	1.64908351958924e-78	1.63808962945865e-76	Human_Uterus_idr.optimal_peak	hg38	CC	GO:CC
GO:0043228	membraneless organelle	0.423068179458851	31288	1.14965462867472	1.31693587166327e-229	9.81117224389137e-228	146527	4987	5274	1.04637473154186	7.79934477159294e-38	5.81051185483674e-36	Human_Uterus_idr.optimal_peak	hg38	CC	GO:CC
GO:0043232	intracellular membraneless organelle	0.42305364169307	31286	1.14962064421217	1.72344572326434e-229	1.20843958948888e-227	146534	4986	5273	1.0463633113868	8.31689518991505e-38	5.83161121551691e-36	Human_Uterus_idr.optimal_peak	hg38	CC	GO:CC
GO:0031982	vesicle	0.304523216727873	23421	1.19559743957723	4.96319895002449e-229	3.28674063801622e-227	124073	3707	3966	1.03432703641169	4.77661991268912e-15	1.58159192664595e-13	Human_Uterus_idr.optimal_peak	hg38	CC	GO:CC
GO:0005925	focal adhesion	0.0381510403461708	4126	1.68121319241362	2.67020511917317e-217	1.67520236950232e-215	117257	420	423	1.09874503038573	2.55835364007049e-15	8.71302153989721e-14	Human_Uterus_idr.optimal_peak	hg38	CC	GO:CC
GO:0030055	cell-substrate junction	0.0396843465742035	4185	1.63936696534554	1.50290101992252e-201	8.95729007873824e-200	117079	429	433	1.09637063911255	1.16750296319838e-14	3.66227245298019e-13	Human_Uterus_idr.optimal_peak	hg38	CC	GO:CC
GO:0070062	extracellular exosome	0.152121240817736	12626	1.29025596841775	4.30936073698539e-199	2.44607523737457e-197	108417	1934	2080	1.02891887814563	5.17697177927687e-06	5.82165128386607e-05	Human_Uterus_idr.optimal_peak	hg38	CC	GO:CC
