id	description	genome_fraction	observed_region_hits	fold_enrichment	p_value	p_adjust	mean_tss_dist	observed_gene_hits	gene_set_size	fold_enrichment_hyper	p_value_hyper	p_adjust_hyper	sample	genome	ontology	ontology_input
GO:0005515	protein binding	0.843117440899637	59774	1.10210810650053	0	0	137732	13349	14308	1.0324233120818	1.83383036129491e-119	3.96107358039702e-116	Human_Uterus_idr.optimal_peak	hg38	MF	GO:MF
GO:0005488	binding	0.897082444117382	62443	1.08206002577661	0	0	138202	14842	16060	1.02266851871504	1.39998427926307e-103	1.51198302160412e-100	Human_Uterus_idr.optimal_peak	hg38	MF	GO:MF
GO:0003674	molecular_function	0.92051304364007	63460	1.07169220492551	0	0	138458	15830	17417	1.0057627892994	6.98711363071677e-19	5.20419498012008e-17	Human_Uterus_idr.optimal_peak	hg38	MF	GO:MF
GO:0019899	enzyme binding	0.180202742135461	14375	1.24007059343169	1.12547996671058e-169	6.07759182023715e-167	137535	1969	2052	1.06183334739961	7.50852432376074e-24	8.53600659964378e-22	Human_Uterus_idr.optimal_peak	hg38	MF	GO:MF
GO:0044877	protein-containing complex binding	0.106856950683138	9113	1.32574056297051	3.02716129000836e-165	1.30773367728361e-162	125886	1217	1278	1.0537745974687	2.21992530434129e-11	9.59007731475437e-10	Human_Uterus_idr.optimal_peak	hg38	MF	GO:MF
GO:0060090	molecular adaptor activity	0.118284496838609	9718	1.27717091211624	2.53612623186224e-136	9.13005443470408e-134	159563	1188	1243	1.05762890788331	1.12482655527591e-12	5.65029153347898e-11	Human_Uterus_idr.optimal_peak	hg38	MF	GO:MF
GO:0003824	catalytic activity	0.415498740591788	29793	1.11466528509065	8.28294712644486e-132	2.5558808275887e-129	132556	5132	5448	1.04240755313546	6.0007880147536e-33	2.1602836853113e-30	Human_Uterus_idr.optimal_peak	hg38	MF	GO:MF
GO:0003779	actin binding	0.0434178760994863	4069	1.45686418121716	5.27477123367064e-119	1.42418823309107e-116	133977	422	435	1.07352260752072	4.78322780247556e-08	1.37756960711296e-06	Human_Uterus_idr.optimal_peak	hg38	MF	GO:MF
GO:0003676	nucleic acid binding	0.305581103599691	22357	1.13733127736994	1.15495404075752e-115	2.77188969781805e-113	147523	3756	3902	1.06518813266486	1.0448008557955e-53	7.52256616172762e-51	Human_Uterus_idr.optimal_peak	hg38	MF	GO:MF
GO:0030234	enzyme regulator activity	0.118297247807552	9495	1.24772902853947	3.91704120465087e-110	8.46080900204589e-108	137757	1223	1325	1.02140641118494	0.00640172208556606	0.0643149753712684	Human_Uterus_idr.optimal_peak	hg38	MF	GO:MF
