id	description	genome_fraction	observed_region_hits	fold_enrichment	p_value	p_adjust	mean_tss_dist	observed_gene_hits	gene_set_size	fold_enrichment_hyper	p_value_hyper	p_adjust_hyper	sample	genome	ontology	ontology_input
GO:0009987	cellular process	0.887793386855496	28280	1.07695782187856	0	0	85138	13043	17351	1.05328033805068	1.92900379562201e-143	7.51025477762171e-141	Mouse_AdrenalGland_idr.optimal_peak	mm10	BP	GO:BP
GO:0008150	biological_process	0.93661805414107	29264	1.05633667560481	0	0	85916	14525	20017	1.01673586762239	3.82807137357567e-57	3.37448102968783e-55	Mouse_AdrenalGland_idr.optimal_peak	mm10	BP	GO:BP
GO:0008152	metabolic process	0.66172519114917	22522	1.15069567685574	2.8121715331318e-305	8.75897693519451e-302	84175	9025	10890	1.16120881357042	0	0	Mouse_AdrenalGland_idr.optimal_peak	mm10	BP	GO:BP
GO:0044238	primary metabolic process	0.609912994883704	20931	1.16025456683104	1.43987990334841e-270	3.36355945422189e-267	83544	8116	9696	1.1728444692035	1.92389239874114e-303	8.98842528691859e-300	Mouse_AdrenalGland_idr.optimal_peak	mm10	BP	GO:BP
GO:0043170	macromolecule metabolic process	0.585227142963966	19886	1.14882577251596	1.29757617758254e-208	2.42491036066625e-205	86778	7463	8888	1.17652290967325	4.71396594846693e-274	1.46824326074917e-270	Mouse_AdrenalGland_idr.optimal_peak	mm10	BP	GO:BP
GO:0009058	biosynthetic process	0.520794505326896	17735	1.15131985592224	1.05063279928351e-163	1.63618547941753e-160	86158	6488	7677	1.18415974471827	1.46048425957842e-238	2.27446082025013e-235	Mouse_AdrenalGland_idr.optimal_peak	mm10	BP	GO:BP
GO:0006996	organelle organization	0.265994302351693	9861	1.25337151424863	6.26880497342558e-145	8.36795909595552e-142	80632	3173	3590	1.23841617629296	1.05468115412291e-155	5.47496705784694e-153	Mouse_AdrenalGland_idr.optimal_peak	mm10	BP	GO:BP
GO:0006950	response to stress	0.286316467970453	10468	1.23608569786598	3.22670304546072e-140	3.76878915709812e-137	84003	3299	4041	1.14389051198348	3.22543708457005e-62	3.13942542898152e-60	Mouse_AdrenalGland_idr.optimal_peak	mm10	BP	GO:BP
GO:0010467	gene expression	0.447103695607441	15380	1.16299881239588	1.59157148409163e-139	1.65240488303913e-136	90024	5305	6268	1.18589815415137	9.40507865298498e-183	8.78810549334916e-180	Mouse_AdrenalGland_idr.optimal_peak	mm10	BP	GO:BP
GO:0002376	immune system process	0.191179052631435	7414	1.31112310859603	1.992356135486e-139	1.86165757299812e-136	89024	2117	2728	1.08734530772285	1.95800394781113e-15	3.96008417496693e-14	Mouse_AdrenalGland_idr.optimal_peak	mm10	BP	GO:BP
GO:0009059	macromolecule biosynthetic process	0.476149355861437	16224	1.15198263320037	3.69692589991075e-137	3.14037050988783e-134	89054	5678	6696	1.18814907940576	4.08986942662662e-205	4.7769674902999e-202	Mouse_AdrenalGland_idr.optimal_peak	mm10	BP	GO:BP
GO:0048518	positive regulation of biological process	0.501190349004582	16935	1.14238816918929	9.02315717425977e-134	7.02603171969027e-131	91101	5387	6414	1.17681721440521	6.44057110192673e-170	5.01505803136695e-167	Mouse_AdrenalGland_idr.optimal_peak	mm10	BP	GO:BP
GO:0019538	protein metabolic process	0.331972944471323	11786	1.20031419370894	8.33238078057498e-127	5.9890589241302e-124	82087	3913	4596	1.19294609675971	8.86330418929879e-133	3.12324500381758e-130	Mouse_AdrenalGland_idr.optimal_peak	mm10	BP	GO:BP
GO:0048522	positive regulation of cellular process	0.484621210985015	16358	1.14119268913084	7.08480486306006e-123	4.72860118860237e-120	91843	5126	6073	1.18267744218859	6.6478782093071e-169	4.77829030675119e-166	Mouse_AdrenalGland_idr.optimal_peak	mm10	BP	GO:BP
GO:0006139	nucleobase-containing compound metabolic process	0.394525507808817	13658	1.17042399377312	5.12929426034544e-122	3.19520837124452e-119	88468	4764	5479	1.21832020016352	6.57320823493229e-215	8.77429396388676e-212	Mouse_AdrenalGland_idr.optimal_peak	mm10	BP	GO:BP
GO:0065007	biological regulation	0.754718569075107	24002	1.07521073387604	6.37792623303338e-121	3.72470892009149e-118	90242	9337	12609	1.03757071800249	6.72397891954604e-26	2.31840808207521e-24	Mouse_AdrenalGland_idr.optimal_peak	mm10	BP	GO:BP
GO:0019222	regulation of metabolic process	0.476176450637389	16084	1.14197697166659	5.60152247288697e-120	3.07886035215623e-117	90946	5378	6415	1.17466797793894	1.05173403249714e-165	7.01957342832377e-163	Mouse_AdrenalGland_idr.optimal_peak	mm10	BP	GO:BP
GO:0048523	negative regulation of cellular process	0.435128137400902	14859	1.15452571475329	1.50010354607851e-119	7.78720418586531e-117	96262	4529	5331	1.19037728447537	2.41628765967745e-155	1.1288895946013e-152	Mouse_AdrenalGland_idr.optimal_peak	mm10	BP	GO:BP
GO:0009056	catabolic process	0.181500792164881	6949	1.29441930742407	1.01236244448229e-117	4.97869193749607e-115	77674	2300	2685	1.20025780460848	2.92100227808541e-77	3.73888291594932e-75	Mouse_AdrenalGland_idr.optimal_peak	mm10	BP	GO:BP
GO:0050789	regulation of biological process	0.74256774883119	23640	1.0763229101029	2.83945896737626e-116	1.32659522955819e-113	90642	9046	12189	1.03987107726536	7.78252280466133e-27	2.86001017715007e-25	Mouse_AdrenalGland_idr.optimal_peak	mm10	BP	GO:BP
GO:0035556	intracellular signal transduction	0.265591392676436	9622	1.22484899930995	6.40470070480357e-115	2.84978682788974e-112	92765	2602	2983	1.22220774510378	2.63958409997436e-108	6.1660684575401e-106	Mouse_AdrenalGland_idr.optimal_peak	mm10	BP	GO:BP
GO:0050896	response to stimulus	0.600836817550959	19643	1.10530586606981	6.73979476757125e-112	2.86257465037208e-109	90613	6786	9642	0.986138060192563	0.998317223688941	1	Mouse_AdrenalGland_idr.optimal_peak	mm10	BP	GO:BP
GO:0050794	regulation of cellular process	0.727947463780134	23201	1.07755106929892	7.03423209091017e-111	2.85773324597672e-108	90317	8803	11820	1.04352826763427	1.30819679640413e-29	5.55626857527282e-28	Mouse_AdrenalGland_idr.optimal_peak	mm10	BP	GO:BP
GO:0009893	positive regulation of metabolic process	0.311118387317032	10999	1.195249906687	1.54473073454827e-109	6.01415165984127e-107	96076	3199	3683	1.21703624939389	6.55503273310991e-131	2.11207675373031e-128	Mouse_AdrenalGland_idr.optimal_peak	mm10	BP	GO:BP
GO:0030097	hemopoiesis	0.0953267055914532	4003	1.41971836762043	2.95125776049976e-109	1.10306210056439e-106	104261	922	1067	1.21075840974476	5.62708553412191e-33	2.64218528798166e-31	Mouse_AdrenalGland_idr.optimal_peak	mm10	BP	GO:BP
GO:0048519	negative regulation of biological process	0.449291590267018	15191	1.14311327823989	4.22665268006693e-109	1.51899394779021e-106	95633	4688	5561	1.18120615300597	6.04834509409281e-148	2.56889711632742e-145	Mouse_AdrenalGland_idr.optimal_peak	mm10	BP	GO:BP
GO:0090304	nucleic acid metabolic process	0.365642980511911	12667	1.17124493426468	9.89598096472744e-109	3.42474244942271e-106	90985	4280	4910	1.22138693341005	8.05827390102304e-193	8.36627903679548e-190	Mouse_AdrenalGland_idr.optimal_peak	mm10	BP	GO:BP
GO:0034654	nucleobase-containing compound biosynthetic process	0.348597776846476	12143	1.17769431143421	2.34516692985443e-108	7.82615706877134e-106	90801	3984	4570	1.22150183105405	9.90297088101279e-177	8.41212362838032e-174	Mouse_AdrenalGland_idr.optimal_peak	mm10	BP	GO:BP
GO:0080090	regulation of primary metabolic process	0.421506816501385	14315	1.14820106520523	4.16458266684431e-104	1.34185725651701e-101	91548	4609	5418	1.19195181717686	2.37163643167375e-161	1.4773713878373e-158	Mouse_AdrenalGland_idr.optimal_peak	mm10	BP	GO:BP
GO:0033554	cellular response to stress	0.145968503399057	5682	1.31605266668246	8.33303455120375e-104	2.59546249488159e-101	85686	1726	1883	1.284344304065	1.53945172403499e-113	3.68836843830333e-111	Mouse_AdrenalGland_idr.optimal_peak	mm10	BP	GO:BP
GO:0060255	regulation of macromolecule metabolic process	0.448614717936914	15096	1.13767853703083	7.21093310151903e-101	2.17351480324496e-98	93029	4960	5899	1.17813286987875	3.18851735683648e-154	1.41873838963238e-151	Mouse_AdrenalGland_idr.optimal_peak	mm10	BP	GO:BP
GO:0009892	negative regulation of metabolic process	0.254770545802619	9152	1.21450131496385	3.26939843913954e-99	9.54664344228745e-97	99158	2522	2943	1.20073124761079	6.16128984840159e-86	9.13826862594674e-84	Mouse_AdrenalGland_idr.optimal_peak	mm10	BP	GO:BP
GO:0071840	cellular component organization or biogenesis	0.527238164970307	17375	1.11416412076433	2.16851654627785e-96	6.14018745709704e-94	87105	6077	7063	1.20556608732934	4.50332982206411e-266	1.05197784643418e-262	Mouse_AdrenalGland_idr.optimal_peak	mm10	BP	GO:BP
GO:0051716	cellular response to stimulus	0.525231710957206	17309	1.1141719856311	1.2948976819563e-95	3.55868351182343e-93	91011	5654	7972	0.993755411831808	0.871199519842992	0.925865998424688	Mouse_AdrenalGland_idr.optimal_peak	mm10	BP	GO:BP
GO:0010604	positive regulation of macromolecule metabolic process	0.291650521109606	10270	1.1905259939841	3.34872582535411e-95	8.94014117488824e-93	98146	2937	3358	1.2255026293061	8.58505101427392e-128	2.43087020234471e-125	Mouse_AdrenalGland_idr.optimal_peak	mm10	BP	GO:BP
GO:0048583	regulation of response to stimulus	0.349598003688454	12045	1.16484745649391	4.0468004429526e-94	1.05036953719303e-91	91945	3491	4152	1.17810363669262	2.14171594325961e-99	4.3504769073517e-97	Mouse_AdrenalGland_idr.optimal_peak	mm10	BP	GO:BP
GO:0016070	RNA metabolic process	0.340328305731475	11761	1.16836186611314	4.50590674432514e-94	1.13792412483714e-91	92523	3799	4380	1.21530749337055	5.7055135875966e-158	3.33201993515642e-155	Mouse_AdrenalGland_idr.optimal_peak	mm10	BP	GO:BP
GO:0141187	nucleic acid biosynthetic process	0.335155043358741	11588	1.16894458358232	1.58676219411517e-92	3.90176472152952e-90	92502	3728	4295	1.21619644092053	1.18312685600569e-155	5.81849333816692e-153	Mouse_AdrenalGland_idr.optimal_peak	mm10	BP	GO:BP
GO:0032774	RNA biosynthetic process	0.329259679937979	11398	1.17036492102991	1.47908276618872e-91	3.54373060699164e-89	93289	3630	4190	1.2139019098793	1.05400303007376e-147	4.2820018752214e-145	Mouse_AdrenalGland_idr.optimal_peak	mm10	BP	GO:BP
GO:0016043	cellular component organization	0.52062339094244	17094	1.1100721793947	2.42835691047383e-87	5.67264174286687e-85	87529	5887	6869	1.20085760303287	1.10816820286473e-243	2.0709447375136e-240	Mouse_AdrenalGland_idr.optimal_peak	mm10	BP	GO:BP
