id	description	genome_fraction	observed_region_hits	fold_enrichment	p_value	p_adjust	mean_tss_dist	observed_gene_hits	gene_set_size	fold_enrichment_hyper	p_value_hyper	p_adjust_hyper	sample	genome	ontology	ontology_input
GO:0005737	cytoplasm	0.691962263099807	24168	1.18083576156539	0	0	82719	9773	11663	1.17410953715085	0	0	Mouse_AdrenalGland_idr.optimal_peak	mm10	CC	GO:CC
GO:0043229	intracellular organelle	0.736560152135743	25564	1.17341540213468	0	0	83445	10805	12812	1.18167713960633	0	0	Mouse_AdrenalGland_idr.optimal_peak	mm10	CC	GO:CC
GO:0043231	intracellular membrane-bounded organelle	0.698443237644183	24189	1.17089511215399	0	0	83300	9893	11675	1.18730449633229	0	0	Mouse_AdrenalGland_idr.optimal_peak	mm10	CC	GO:CC
GO:0043227	membrane-bounded organelle	0.716618238774136	24683	1.16450479553038	0	0	83811	10283	12173	1.18362248410983	0	0	Mouse_AdrenalGland_idr.optimal_peak	mm10	CC	GO:CC
GO:0005622	intracellular anatomical structure	0.790429719093745	27062	1.15751818945208	0	0	83640	11955	14386	1.16439549668589	0	0	Mouse_AdrenalGland_idr.optimal_peak	mm10	CC	GO:CC
GO:0043226	organelle	0.760661647312648	25842	1.14859202872333	0	0	84288	11042	13156	1.17602044138357	0	0	Mouse_AdrenalGland_idr.optimal_peak	mm10	CC	GO:CC
GO:0110165	cellular anatomical structure	0.911793910234074	28842	1.06944851221497	0	0	84882	13831	18802	1.03071957868785	1.14362454049098e-84	5.92695848810977e-83	Mouse_AdrenalGland_idr.optimal_peak	mm10	CC	GO:CC
GO:0005575	cellular_component	0.943508507523768	29369	1.05238472093044	0	0	85617	14689	20396	1.00910932673788	3.83908059659138e-28	7.88997253644297e-27	Mouse_AdrenalGland_idr.optimal_peak	mm10	CC	GO:CC
GO:0005829	cytosol	0.300692196360922	11375	1.27897025259234	6.41936822662735e-208	8.50209658459978e-206	79616	3635	4148	1.22788207690806	3.43113980345643e-167	2.55619915357504e-165	Mouse_AdrenalGland_idr.optimal_peak	mm10	CC	GO:CC
GO:0005634	nucleus	0.501904479956597	17436	1.1745107160476	9.84925554365507e-201	1.17403126080368e-198	88079	6260	7257	1.20867128024155	2.081256057563e-285	3.54408174373585e-283	Mouse_AdrenalGland_idr.optimal_peak	mm10	CC	GO:CC
GO:0043228	membraneless organelle	0.351506965761744	12506	1.20286166426614	5.57633978537965e-142	6.04272456742958e-140	83572	4264	4883	1.22354927598979	1.52203175983208e-195	1.5118848814332e-193	Mouse_AdrenalGland_idr.optimal_peak	mm10	CC	GO:CC
GO:0043232	intracellular membraneless organelle	0.351369509272917	12500	1.20275490391764	9.52903237871801e-142	9.46550549619322e-140	83563	4262	4881	1.22347649531039	2.62047019405505e-195	2.40276959331817e-193	Mouse_AdrenalGland_idr.optimal_peak	mm10	CC	GO:CC
GO:0140513	nuclear protein-containing complex	0.0866808144828951	3836	1.49619021599809	1.99893815182243e-134	1.83287252074795e-132	85295	1194	1266	1.32148310090538	1.84426265992437e-100	1.15703215296308e-98	Mouse_AdrenalGland_idr.optimal_peak	mm10	CC	GO:CC
