id	description	genome_fraction	observed_region_hits	fold_enrichment	p_value	p_adjust	mean_tss_dist	observed_gene_hits	gene_set_size	fold_enrichment_hyper	p_value_hyper	p_adjust_hyper	sample	genome	ontology	ontology_input
GO:0003674	molecular_function	0.929240514616254	29208	1.06268580310125	0	0	85825	14442	20100	1.00675147804473	4.33484865134389e-12	7.90472401127415e-11	Mouse_AdrenalGland_idr.optimal_peak	mm10	MF	GO:MF
GO:0005488	binding	0.796898227638936	25898	1.09873905269773	2.21342254898242e-278	2.40156346564593e-275	85364	10888	13861	1.10063809726099	1.94477591866043e-218	2.11008187174657e-215	Mouse_AdrenalGland_idr.optimal_peak	mm10	MF	GO:MF
GO:0005515	protein binding	0.652651133157154	21373	1.1071732508987	3.29173529524421e-146	2.38102186355998e-143	86572	7825	9527	1.15085119669268	3.91874955185265e-223	8.50368652752025e-220	Mouse_AdrenalGland_idr.optimal_peak	mm10	MF	GO:MF
GO:0019899	enzyme binding	0.189012138727424	7290	1.30397428626729	1.64654773845331e-131	8.93252148110918e-129	91933	2088	2359	1.24020519468832	4.8301021140475e-99	1.49733165535473e-96	Mouse_AdrenalGland_idr.optimal_peak	mm10	MF	GO:MF
GO:0003824	catalytic activity	0.370850060930064	12808	1.16765396824835	9.68556880479114e-107	4.20353686127935e-104	79511	4576	5527	1.16007894303776	1.27045262343184e-113	4.59480365474515e-111	Mouse_AdrenalGland_idr.optimal_peak	mm10	MF	GO:MF
GO:1901265	nucleoside phosphate binding	0.152534129571698	5718	1.26738428655837	1.08912616857595e-79	3.93900630968302e-77	73883	1860	2094	1.24459272912155	1.1924531178179e-90	3.23452908208107e-88	Mouse_AdrenalGland_idr.optimal_peak	mm10	MF	GO:MF
GO:0000166	nucleotide binding	0.151668719768713	5668	1.26347023746091	5.43567167037997e-77	1.68505821781779e-74	74240	1838	2071	1.24353038302794	9.76377435397179e-89	2.30924269329153e-86	Mouse_AdrenalGland_idr.optimal_peak	mm10	MF	GO:MF
GO:0032555	purine ribonucleotide binding	0.134579880951302	5101	1.28146390858683	5.57898680269908e-76	1.51330017023212e-73	77258	1603	1803	1.24574395457189	3.69950528029138e-78	5.73423318445164e-76	Mouse_AdrenalGland_idr.optimal_peak	mm10	MF	GO:MF
GO:0036094	small molecule binding	0.418492301526529	13942	1.12633816629809	2.10365107786764e-75	5.07213648774754e-73	85101	4736	5675	1.16932926907873	5.43666333230947e-132	2.94938985777789e-129	Mouse_AdrenalGland_idr.optimal_peak	mm10	MF	GO:MF
GO:0044877	protein-containing complex binding	0.126014920254672	4814	1.29156215930381	2.36961291169353e-75	5.14206001837495e-73	81952	1382	1602	1.20875010254208	9.99873315793863e-49	8.67890038109073e-47	Mouse_AdrenalGland_idr.optimal_peak	mm10	MF	GO:MF
GO:0035639	purine ribonucleoside triphosphate binding	0.128695309888882	4902	1.28778031546206	2.69686787807228e-75	5.32018481401531e-73	74987	1562	1746	1.25350994192784	6.38848579383525e-81	1.26027401569295e-78	Mouse_AdrenalGland_idr.optimal_peak	mm10	MF	GO:MF
GO:0032553	ribonucleotide binding	0.136139427533873	5143	1.2772143802571	8.17670731236078e-75	1.47862123898524e-72	76933	1620	1821	1.24651084514135	1.60534334982591e-79	2.67968851470941e-77	Mouse_AdrenalGland_idr.optimal_peak	mm10	MF	GO:MF
GO:0060090	molecular adaptor activity	0.105698126452673	4133	1.32199347430529	1.28572480342366e-74	2.14617140263795e-72	87161	1129	1292	1.22439746260162	1.50993783542044e-45	1.21354263068976e-43	Mouse_AdrenalGland_idr.optimal_peak	mm10	MF	GO:MF
GO:0017076	purine nucleotide binding	0.141572358437313	5307	1.26736531141755	4.2969340336656e-73	6.66024775218168e-71	75992	1692	1910	1.24124634907635	9.07623944316799e-80	1.64128663263954e-77	Mouse_AdrenalGland_idr.optimal_peak	mm10	MF	GO:MF
GO:0043167	ion binding	0.408379389243176	13592	1.12525446779441	3.97065970625818e-71	5.74422104172017e-69	86363	4578	5465	1.1737527281277	1.38565952651036e-132	1.00229372417583e-129	Mouse_AdrenalGland_idr.optimal_peak	mm10	MF	GO:MF
GO:0043168	anion binding	0.17827160357366	6450	1.2232317330242	3.86733509078517e-68	5.24507321687739e-66	78950	2059	2390	1.20711720044835	4.52089796152239e-73	6.54023238433573e-71	Mouse_AdrenalGland_idr.optimal_peak	mm10	MF	GO:MF
GO:1901363	heterocyclic compound binding	0.164212464877305	5987	1.23263454129456	8.15181004890999e-67	1.04055457683145e-64	74456	1970	2236	1.23448386960145	1.06416713976568e-88	2.30924269329153e-86	Mouse_AdrenalGland_idr.optimal_peak	mm10	MF	GO:MF
GO:0003676	nucleic acid binding	0.252669272915887	8741	1.169606801163	1.18952434440489e-62	1.43403768186589e-60	94575	2912	3331	1.22492001384209	6.44537428061485e-126	2.79729243778685e-123	Mouse_AdrenalGland_idr.optimal_peak	mm10	MF	GO:MF
GO:0030674	protein-macromolecule adaptor activity	0.0935577895988711	3634	1.3132160009436	4.6398124605069e-62	5.29915423121052e-60	85839	986	1127	1.22586879923558	3.05314447502154e-40	2.00767379115053e-38	Mouse_AdrenalGland_idr.optimal_peak	mm10	MF	GO:MF
GO:0030234	enzyme regulator activity	0.103751215678072	3969	1.29335903166962	1.87102859028298e-61	2.03006602045704e-59	84754	1075	1295	1.16313383272681	7.496969420342e-24	2.71140394035702e-22	Mouse_AdrenalGland_idr.optimal_peak	mm10	MF	GO:MF
GO:0019900	kinase binding	0.0816484102711688	3199	1.32463950274408	2.40713818905308e-57	2.48737612868818e-55	98191	803	893	1.25995512971183	3.75373481543938e-43	2.90914448196552e-41	Mouse_AdrenalGland_idr.optimal_peak	mm10	MF	GO:MF
GO:0030695	GTPase regulator activity	0.0430038263965992	1856	1.45915714912238	7.87332095978587e-56	7.42830716640667e-54	96307	406	430	1.32296565761552	1.51453904415666e-34	7.82511839480943e-33	Mouse_AdrenalGland_idr.optimal_peak	mm10	MF	GO:MF
GO:0060589	nucleoside-triphosphatase regulator activity	0.0430038263965992	1856	1.45915714912238	7.87332095978587e-56	7.42830716640667e-54	96307	406	430	1.32296565761552	1.51453904415666e-34	7.82511839480943e-33	Mouse_AdrenalGland_idr.optimal_peak	mm10	MF	GO:MF
GO:0008092	cytoskeletal protein binding	0.0893514546209541	3437	1.3004962385598	1.06137009471297e-54	9.59655460636309e-53	89526	895	1021	1.22825427918474	2.78231888920383e-37	1.63179242961414e-35	Mouse_AdrenalGland_idr.optimal_peak	mm10	MF	GO:MF
GO:0008134	transcription factor binding	0.0688694753761183	2730	1.340192143699	2.74723695410733e-52	2.38460167616516e-50	109341	638	704	1.26981078744347	5.02530189121335e-37	2.86971186945604e-35	Mouse_AdrenalGland_idr.optimal_peak	mm10	MF	GO:MF
GO:0097367	carbohydrate derivative binding	0.167049438701975	5927	1.19955758698855	4.33090198114971e-51	3.6146374227288e-49	78054	1879	2192	1.20109462351184	1.39706389830231e-62	1.44363269491239e-60	Mouse_AdrenalGland_idr.optimal_peak	mm10	MF	GO:MF
