id	description	genome_fraction	observed_region_hits	fold_enrichment	p_value	p_adjust	mean_tss_dist	observed_gene_hits	gene_set_size	fold_enrichment_hyper	p_value_hyper	p_adjust_hyper	sample	genome	ontology	ontology_input
GO:0008150	biological_process	0.93661805414107	25450	1.05392245482302	0	0	85597	14474	20017	1.0153267616421	3.30708447443497e-48	2.91959401054362e-46	Mouse_Uterus_idr.optimal_peak	mm10	BP	GO:BP
GO:0009987	cellular process	0.887793386855496	24467	1.06893725185848	1.54013937017605e-260	7.20631211305375e-257	84968	12980	17351	1.05042835598479	3.33831697762986e-128	1.64420896192949e-125	Mouse_Uterus_idr.optimal_peak	mm10	BP	GO:BP
GO:0008152	metabolic process	0.66172519114917	19455	1.14034683887038	2.86218165646839e-230	8.92809864707706e-227	83199	8924	10890	1.15066243736901	2.80845537752676e-281	2.62815254228955e-277	Mouse_Uterus_idr.optimal_peak	mm10	BP	GO:BP
GO:0044238	primary metabolic process	0.609912994883704	18078	1.14965065582403	1.348134518688e-205	3.15396070647057e-202	83417	8016	9696	1.16086403361744	5.13339929837158e-260	2.40191753170806e-256	Mouse_Uterus_idr.optimal_peak	mm10	BP	GO:BP
GO:0043170	macromolecule metabolic process	0.585227142963966	16976	1.12510823103201	9.69572559562374e-129	1.81465200247694e-125	86576	7330	8888	1.15802032749263	9.56622102098359e-217	1.79041392628729e-213	Mouse_Uterus_idr.optimal_peak	mm10	BP	GO:BP
GO:0009058	biosynthetic process	0.520794505326896	15214	1.13307958369447	6.13209107026918e-111	9.56401803926317e-108	85796	6371	7677	1.16528543627999	2.48980418045545e-189	3.88326458678368e-186	Mouse_Uterus_idr.optimal_peak	mm10	BP	GO:BP
GO:0006996	organelle organization	0.265994302351693	8345	1.21685099872669	6.58039097351616e-94	8.79704267573774e-91	77609	3155	3590	1.23401707548368	3.92130666475136e-148	4.07728752986036e-145	Mouse_Uterus_idr.optimal_peak	mm10	BP	GO:BP
GO:0006139	nucleobase-containing compound metabolic process	0.394525507808817	11755	1.15566228917759	1.96493400808771e-89	2.2984815559606e-86	87212	4660	5479	1.19426545571908	2.01629978773108e-166	2.69550477336963e-163	Mouse_Uterus_idr.optimal_peak	mm10	BP	GO:BP
GO:0010467	gene expression	0.447103695607441	13040	1.13123472426078	7.41878013001572e-80	7.71388271740968e-77	89105	5175	6268	1.15930476399657	9.24977343655812e-132	5.40996123870693e-129	Mouse_Uterus_idr.optimal_peak	mm10	BP	GO:BP
GO:0009059	macromolecule biosynthetic process	0.476149355861437	13768	1.12153040546502	2.14368127374783e-77	2.00605693597322e-74	88443	5555	6696	1.16488988042058	8.04555435616697e-155	9.41128720812631e-152	Mouse_Uterus_idr.optimal_peak	mm10	BP	GO:BP
GO:0009056	catabolic process	0.181500792164881	5840	1.24800900262267	2.36527486304505e-74	2.01220383348869e-71	75466	2270	2685	1.18712874580435	1.77617229862352e-66	2.63832069373316e-64	Mouse_Uterus_idr.optimal_peak	mm10	BP	GO:BP
GO:0090304	nucleic acid metabolic process	0.365642980511911	10844	1.15031203729956	6.76137053347603e-74	5.27274212102239e-71	89568	4176	4910	1.19425000583687	7.55560698997668e-145	7.07053702122017e-142	Mouse_Uterus_idr.optimal_peak	mm10	BP	GO:BP
GO:0019538	protein metabolic process	0.331972944471323	9908	1.15762181774014	8.0140282862022e-70	5.76886743863694e-67	83175	3865	4596	1.18082552514572	5.73334770306722e-115	1.98713584464085e-112	Mouse_Uterus_idr.optimal_peak	mm10	BP	GO:BP
GO:0034654	nucleobase-containing compound biosynthetic process	0.348597776846476	10306	1.14669764596064	1.73112909838569e-65	1.15713615019238e-62	90562	3883	4570	1.19307417365581	6.4968044896598e-131	3.57629978907273e-128	Mouse_Uterus_idr.optimal_peak	mm10	BP	GO:BP
GO:0019222	regulation of metabolic process	0.476176450637389	13625	1.10981858535846	1.36284607274368e-63	8.50234236582355e-61	91801	5276	6415	1.15484681351795	2.61072713442898e-128	1.35728802911036e-125	Mouse_Uterus_idr.optimal_peak	mm10	BP	GO:BP
GO:0033554	cellular response to stress	0.145968503399057	4720	1.25419839103815	2.79896530521216e-60	1.63704483288596e-57	82858	1693	1883	1.262475306638	9.77497793445185e-94	2.47227685163785e-91	Mouse_Uterus_idr.optimal_peak	mm10	BP	GO:BP
GO:0006412	translation	0.0395108129343789	1557	1.52846691726632	6.43834194013639e-58	3.54411787504685e-55	75273	595	648	1.28931256191765	1.74275268139107e-39	1.2262165107111e-37	Mouse_Uterus_idr.optimal_peak	mm10	BP	GO:BP
GO:0006974	DNA damage response	0.0605009187553579	2198	1.4091236833137	3.43381469248439e-56	1.78520210512605e-53	72268	834	894	1.30992003921997	8.67038838748834e-64	1.12690964625161e-61	Mouse_Uterus_idr.optimal_peak	mm10	BP	GO:BP
GO:0080090	regulation of primary metabolic process	0.421506816501385	12121	1.1153655973082	4.21545938554069e-56	2.07622468052052e-53	93972	4512	5418	1.16935491251798	2.5014933234539e-123	1.11471307242293e-120	Mouse_Uterus_idr.optimal_peak	mm10	BP	GO:BP
GO:0016070	RNA metabolic process	0.340328305731475	9978	1.1371789810984	1.49578835267342e-55	6.99879370215895e-53	92518	3694	4380	1.1842381148893	9.64820073493373e-113	3.009595415917e-110	Mouse_Uterus_idr.optimal_peak	mm10	BP	GO:BP
GO:0009893	positive regulation of metabolic process	0.311118387317032	9197	1.14657878927869	2.75321859095199e-55	1.22688664638708e-52	98666	3119	3683	1.18913157233553	5.18865088692815e-97	1.42809985293746e-94	Mouse_Uterus_idr.optimal_peak	mm10	BP	GO:BP
GO:0141187	nucleic acid biosynthetic process	0.335155043358741	9826	1.13714120504797	2.84899912133179e-54	1.21186062624649e-51	92318	3634	4295	1.18805900110766	6.25323198532306e-115	2.08991946138047e-112	Mouse_Uterus_idr.optimal_peak	mm10	BP	GO:BP
GO:0006950	response to stress	0.286316467970453	8508	1.15256267002088	4.22529524547143e-53	1.71914403944007e-50	81110	3196	4041	1.11053991970202	1.36201399029123e-36	8.55417914170827e-35	Mouse_Uterus_idr.optimal_peak	mm10	BP	GO:BP
GO:0032774	RNA biosynthetic process	0.329259679937979	9640	1.13559083326063	9.68286185599456e-52	3.77550921868321e-49	93273	3536	4190	1.18498946024895	8.28329174311535e-108	2.42234512912729e-105	Mouse_Uterus_idr.optimal_peak	mm10	BP	GO:BP
GO:0065007	biological regulation	0.754718569075107	20478	1.05241226091407	1.8372846713022e-51	6.8773239816184e-49	90247	9267	12609	1.03198829745013	3.55460130108781e-19	1.13528870223822e-17	Mouse_Uterus_idr.optimal_peak	mm10	BP	GO:BP
