id	description	genome_fraction	observed_region_hits	fold_enrichment	p_value	p_adjust	mean_tss_dist	observed_gene_hits	gene_set_size	fold_enrichment_hyper	p_value_hyper	p_adjust_hyper	sample	genome	ontology	ontology_input
GO:0043229	intracellular organelle	0.736560152135743	22024	1.15976867516765	0	0	81475	10689	12812	1.17148410751617	0	0	Mouse_Uterus_idr.optimal_peak	mm10	CC	GO:CC
GO:0005737	cytoplasm	0.691962263099807	20673	1.15878933683337	0	0	80866	9700	11663	1.1678248514392	0	0	Mouse_Uterus_idr.optimal_peak	mm10	CC	GO:CC
GO:0005622	intracellular anatomical structure	0.790429719093745	23389	1.14770900469522	0	0	82176	11862	14386	1.15780152680357	0	0	Mouse_Uterus_idr.optimal_peak	mm10	CC	GO:CC
GO:0043227	membrane-bounded organelle	0.716618238774136	21151	1.14479162585607	0	0	81610	10167	12173	1.1727662404021	0	0	Mouse_Uterus_idr.optimal_peak	mm10	CC	GO:CC
GO:0043226	organelle	0.760661647312648	22311	1.13765587138388	0	0	82677	10938	13156	1.16742854586096	0	0	Mouse_Uterus_idr.optimal_peak	mm10	CC	GO:CC
GO:0110165	cellular anatomical structure	0.911793910234074	25040	1.06517516762061	0	0	84485	13796	18802	1.0303040133878	5.40886984215984e-82	3.04699667775004e-80	Mouse_Uterus_idr.optimal_peak	mm10	CC	GO:CC
GO:0005575	cellular_component	0.943508507523768	25560	1.050747644028	0	0	85451	14652	20396	1.00871426114832	7.93096034137437e-26	1.56372101397431e-24	Mouse_Uterus_idr.optimal_peak	mm10	CC	GO:CC
GO:0043231	intracellular membrane-bounded organelle	0.698443237644183	20674	1.14809226505834	1.20236296173077e-310	1.77799422965938e-308	81382	9786	11675	1.17696778646322	0	0	Mouse_Uterus_idr.optimal_peak	mm10	CC	GO:CC
GO:0005829	cytosol	0.300692196360922	9569	1.23432007717532	1.49186325993367e-129	1.96097137389059e-127	77531	3577	4148	1.21086700891334	2.60717584820474e-140	1.92768064276638e-138	Mouse_Uterus_idr.optimal_peak	mm10	CC	GO:CC
GO:0005634	nucleus	0.501904479956597	14835	1.14643615637158	6.86859330099685e-124	8.12554587507927e-122	85611	6179	7257	1.19557637966883	5.06002742838936e-247	8.55144635397802e-245	Mouse_Uterus_idr.optimal_peak	mm10	CC	GO:CC
GO:0043228	membraneless organelle	0.351506965761744	10677	1.17814488715752	1.96858335260579e-96	2.11712191466604e-94	81878	4176	4883	1.20085347709585	2.44387669250933e-154	2.40925510603212e-152	Mouse_Uterus_idr.optimal_peak	mm10	CC	GO:CC
GO:0043232	intracellular membraneless organelle	0.351369509272917	10667	1.1775019063667	1.05797812573421e-95	1.04299010228631e-93	81870	4174	4881	1.20077017227558	3.99438844754445e-154	3.63489348726545e-152	Mouse_Uterus_idr.optimal_peak	mm10	CC	GO:CC
GO:0140513	nuclear protein-containing complex	0.0866808144828951	3207	1.43502468709521	4.86628519471974e-92	4.42831952719496e-90	74515	1177	1266	1.3054462991017	8.88163381306258e-88	5.83720711158502e-86	Mouse_Uterus_idr.optimal_peak	mm10	CC	GO:CC
GO:0005739	mitochondrion	0.119856537999824	4178	1.35204174981114	1.04956003602287e-88	8.86878230439325e-87	68372	1687	1898	1.24805903532855	2.03026488448432e-83	1.20090167917248e-81	Mouse_Uterus_idr.optimal_peak	mm10	CC	GO:CC
GO:0031090	organelle membrane	0.235818365694657	7408	1.21844728445097	4.15316114533019e-81	3.27545975661707e-79	72790	2956	3423	1.21258944834499	4.39197853417262e-114	3.05630035642718e-112	Mouse_Uterus_idr.optimal_peak	mm10	CC	GO:CC
GO:0070013	intracellular organelle lumen	0.357682586781674	10699	1.16018911280007	1.05269889758243e-80	7.78339247400011e-79	80518	4200	4849	1.21622341555828	6.63762195126789e-179	8.72478529816658e-177	Mouse_Uterus_idr.optimal_peak	mm10	CC	GO:CC
GO:0005654	nucleoplasm	0.289251964132637	8859	1.18793254604823	3.65216323969992e-80	2.54147594856765e-78	83495	3310	3776	1.23087021427054	1.53726661296946e-152	1.22960386109674e-150	Mouse_Uterus_idr.optimal_peak	mm10	CC	GO:CC
GO:0031974	membrane-enclosed lumen	0.358147346003485	10699	1.15868356321207	2.07819759197499e-79	1.29395144805601e-77	80518	4200	4850	1.21597264784374	1.65481176000555e-178	1.77967482916961e-176	Mouse_Uterus_idr.optimal_peak	mm10	CC	GO:CC
GO:0043233	organelle lumen	0.358147346003485	10699	1.15868356321207	2.07819759197499e-79	1.29395144805601e-77	80518	4200	4850	1.21597264784374	1.65481176000555e-178	1.77967482916961e-176	Mouse_Uterus_idr.optimal_peak	mm10	CC	GO:CC
GO:1902494	catalytic complex	0.121113199782064	4114	1.31751693145069	5.49646725106672e-74	3.25116037900597e-72	71546	1579	1785	1.24211030186535	3.73145374431145e-74	2.00650444523657e-72	Mouse_Uterus_idr.optimal_peak	mm10	CC	GO:CC
GO:0031981	nuclear lumen	0.328744849355669	9739	1.1490496758639	7.87859190188864e-62	4.43827343806393e-60	82861	3708	4284	1.21536441822797	1.55909196250644e-152	1.22960386109674e-150	Mouse_Uterus_idr.optimal_peak	mm10	CC	GO:CC
GO:0032991	protein-containing complex	0.41100250342034	11897	1.12273274789448	1.57043265331653e-60	8.4446446766975e-59	85796	4864	5709	1.19632665013858	1.87253456716179e-179	2.76901049119049e-177	Mouse_Uterus_idr.optimal_peak	mm10	CC	GO:CC
GO:0005856	cytoskeleton	0.18507980833036	5801	1.21570224957173	1.6871997540858e-58	8.67807525688479e-57	83957	2027	2367	1.20246306378572	2.5172459065681e-68	1.24079246144586e-66	Mouse_Uterus_idr.optimal_peak	mm10	CC	GO:CC
GO:0140535	intracellular protein-containing complex	0.0629392102548763	2266	1.39643913793682	2.94815556425619e-55	1.45319501354795e-53	69725	848	949	1.25471732300961	1.96918341659612e-43	6.47095550509225e-42	Mouse_Uterus_idr.optimal_peak	mm10	CC	GO:CC
GO:0031967	organelle envelope	0.0876629640396667	2981	1.31895269965261	1.93352328824208e-52	9.14943219996153e-51	65873	1173	1312	1.25539510602051	1.37289742998117e-60	6.01532466543603e-59	Mouse_Uterus_idr.optimal_peak	mm10	CC	GO:CC
GO:0005740	mitochondrial envelope	0.0507185189995918	1796	1.37348260901826	9.29014321457605e-40	4.2270151626321e-38	56941	753	842	1.2557382955994	6.63832066817268e-39	2.01362393601238e-37	Mouse_Uterus_idr.optimal_peak	mm10	CC	GO:CC
GO:0015630	microtubule cytoskeleton	0.112533121171928	3589	1.2370193406276	1.25425892624416e-39	5.49551225832161e-38	82300	1284	1432	1.25903632401937	2.16791929965832e-68	1.11506457891121e-66	Mouse_Uterus_idr.optimal_peak	mm10	CC	GO:CC
