id	description	genome_fraction	observed_region_hits	fold_enrichment	p_value	p_adjust	mean_tss_dist	observed_gene_hits	gene_set_size	fold_enrichment_hyper	p_value_hyper	p_adjust_hyper	sample	genome	ontology	ontology_input
GO:0003674	molecular_function	0.929240514616254	25406	1.06045331249814	0	0	85734	14407	20100	1.00645358915898	3.78432267610768e-11	6.10857458837382e-10	Mouse_Uterus_idr.optimal_peak	mm10	MF	GO:MF
GO:0005488	binding	0.796898227638936	22224	1.08168987207677	3.20674155497848e-163	3.46809099170923e-160	87053	10792	13861	1.09326042502463	9.20662372198554e-187	9.95696355532736e-184	Mouse_Uterus_idr.optimal_peak	mm10	MF	GO:MF
GO:0003824	catalytic activity	0.370850060930064	11078	1.1586343557925	7.4584506642569e-84	5.37754292892923e-81	77095	4555	5527	1.15721797509205	1.30518862518316e-108	5.64624599254236e-106	Mouse_Uterus_idr.optimal_peak	mm10	MF	GO:MF
GO:0005515	protein binding	0.652651133157154	18137	1.07787339529613	9.65355643918107e-68	5.22016064448717e-65	89867	7749	9527	1.14210425591138	3.361905707037e-196	7.27180204432104e-193	Mouse_Uterus_idr.optimal_peak	mm10	MF	GO:MF
GO:0019899	enzyme binding	0.189012138727424	5992	1.22960467109405	1.65406581688788e-67	7.15548872385695e-65	90716	2060	2359	1.22618368604602	3.90293845739545e-86	1.20600798333519e-83	Mouse_Uterus_idr.optimal_peak	mm10	MF	GO:MF
GO:0035639	purine ribonucleoside triphosphate binding	0.128695309888882	4245	1.27937650397388	2.37583854980997e-62	8.56489797206494e-60	77375	1543	1746	1.24090330398339	1.13026070767167e-71	1.88057993130295e-69	Mouse_Uterus_idr.optimal_peak	mm10	MF	GO:MF
GO:1901265	nucleoside phosphate binding	0.152534129571698	4917	1.25030675088077	1.32454222110214e-61	4.09283546320561e-59	76648	1828	2094	1.2257891369051	1.65489337899676e-75	3.25412216251818e-73	Mouse_Uterus_idr.optimal_peak	mm10	MF	GO:MF
GO:0000166	nucleotide binding	0.151668719768713	4870	1.24542143535135	5.57859493405431e-59	1.50831260529493e-56	76693	1808	2071	1.22584223798167	1.15917945453497e-74	2.08942096679928e-72	Mouse_Uterus_idr.optimal_peak	mm10	MF	GO:MF
GO:0032555	purine ribonucleotide binding	0.134579880951302	4366	1.25830808624895	1.23415424225273e-56	2.96608402888072e-54	79208	1583	1803	1.23282502739517	7.45039811165885e-69	9.47953595030476e-67	Mouse_Uterus_idr.optimal_peak	mm10	MF	GO:MF
GO:0017076	purine nucleotide binding	0.141572358437313	4561	1.24958269210974	3.0054271127913e-56	6.50073884496758e-54	78602	1670	1910	1.22772007743834	9.37281716993988e-70	1.44810025275571e-67	Mouse_Uterus_idr.optimal_peak	mm10	MF	GO:MF
GO:0032553	ribonucleotide binding	0.136139427533873	4392	1.25130104514841	1.66832361736221e-54	3.28053089486769e-52	78940	1598	1821	1.23220533100381	3.53736765252063e-69	4.78207889525132e-67	Mouse_Uterus_idr.optimal_peak	mm10	MF	GO:MF
GO:0043168	anion binding	0.17827160357366	5553	1.2081723668229	2.52415824950974e-52	4.5497952447413e-50	78267	2044	2390	1.20087898457204	6.50218545172349e-68	7.81345951782106e-66	Mouse_Uterus_idr.optimal_peak	mm10	MF	GO:MF
GO:1901363	heterocyclic compound binding	0.164212464877305	5150	1.21642266892708	4.24817144023946e-51	7.0683037117215e-49	76473	1941	2236	1.21890537001701	8.28297187040578e-76	1.79160681556877e-73	Mouse_Uterus_idr.optimal_peak	mm10	MF	GO:MF
GO:0060090	molecular adaptor activity	0.105698126452673	3493	1.28178354579168	5.5799035034368e-51	8.62095091280985e-49	88325	1106	1292	1.2020121775576	2.9818841480822e-36	2.14993847076727e-34	Mouse_Uterus_idr.optimal_peak	mm10	MF	GO:MF
GO:0044877	protein-containing complex binding	0.126014920254672	4019	1.23702772439668	7.61365627971565e-45	1.097889235535e-42	86237	1360	1602	1.19204500106672	1.24405100484431e-40	1.03495473979932e-38	Mouse_Uterus_idr.optimal_peak	mm10	MF	GO:MF
GO:0005524	ATP binding	0.109960701201969	3563	1.25678710965507	8.3043385409724e-45	1.12264276650771e-42	78389	1266	1422	1.25011614343067	7.35012701764678e-63	8.36753933640526e-61	Mouse_Uterus_idr.optimal_peak	mm10	MF	GO:MF
GO:0036094	small molecule binding	0.418492301526529	11895	1.10245372465111	3.52749768860244e-44	4.48822205908652e-42	87266	4728	5675	1.1698437421093	1.003217983402e-131	5.4249012452463e-129	Mouse_Uterus_idr.optimal_peak	mm10	MF	GO:MF
