id	description	genome_fraction	observed_region_hits	fold_enrichment	p_value	p_adjust	mean_tss_dist	observed_gene_hits	gene_set_size	fold_enrichment_hyper	p_value_hyper	p_adjust_hyper	sample	genome	ontology	ontology_input
GO:0008150	biological_process	0.91896900437635	12917	1.0524873962453	3.78058108484065e-117	3.23579935051511e-113	75981	9871	16777	1.01915984908813	1.41226508678923e-21	1.07924793552045e-19	human_coord_hg38.Human_AdrenalGland.conserved_overlap_mouse_MouseToHuman	hg38	BP	GO:BP
GO:0009987	cellular process	0.90966242385352	12803	1.05387134910374	1.51583323283713e-106	6.48700831992652e-103	75894	9696	16344	1.02761328842705	1.16406260000601e-33	1.74793189358798e-31	human_coord_hg38.Human_AdrenalGland.conserved_overlap_mouse_MouseToHuman	hg38	BP	GO:BP
GO:0008152	metabolic process	0.701229489219863	10184	1.08746259300302	1.13136431168708e-56	3.22778238124324e-53	74066	6758	10643	1.09989083625188	1.7180911577e-76	3.67628555468857e-73	human_coord_hg38.Human_AdrenalGland.conserved_overlap_mouse_MouseToHuman	hg38	BP	GO:BP
GO:0044238	primary metabolic process	0.646785645554604	9459	1.09506767741242	1.07364650665108e-51	2.29733511260664e-48	73312	6101	9465	1.11654405917168	1.14555253256867e-80	3.26826137541843e-77	human_coord_hg38.Human_AdrenalGland.conserved_overlap_mouse_MouseToHuman	hg38	BP	GO:BP
GO:0033554	cellular response to stress	0.155480609161927	2635	1.26899670283897	2.44051831344832e-38	4.17767924896084e-35	73524	1371	1840	1.29066962757373	4.11723925687603e-56	2.34929671997346e-53	human_coord_hg38.Human_AdrenalGland.conserved_overlap_mouse_MouseToHuman	hg38	BP	GO:BP
GO:0043170	macromolecule metabolic process	0.617039417041903	8905	1.08063025708766	4.23183915129572e-33	6.03671854932334e-30	75617	5574	8628	1.1190572014729	1.22433839775122e-70	2.09582246927054e-67	human_coord_hg38.Human_AdrenalGland.conserved_overlap_mouse_MouseToHuman	hg38	BP	GO:BP
GO:0006139	nucleobase-containing compound metabolic process	0.429241039330614	6382	1.1132986174384	6.37027242924089e-30	7.78902310312468e-27	76552	3665	5549	1.14407557160419	1.04000155530797e-51	4.23874919613378e-49	human_coord_hg38.Human_AdrenalGland.conserved_overlap_mouse_MouseToHuman	hg38	BP	GO:BP
GO:0006996	organelle organization	0.285762801360086	4409	1.15528866362504	2.50285705312998e-29	2.67774418971744e-26	74280	2486	3522	1.22266429856404	2.9512838559337e-68	3.60857693184808e-65	human_coord_hg38.Human_AdrenalGland.conserved_overlap_mouse_MouseToHuman	hg38	BP	GO:BP
GO:0006974	DNA damage response	0.0709685329778822	1288	1.35895833862865	5.63054666758674e-28	5.35464988087499e-25	72689	698	897	1.34790237340734	1.94769970342998e-38	3.96913375277552e-36	human_coord_hg38.Human_AdrenalGland.conserved_overlap_mouse_MouseToHuman	hg38	BP	GO:BP
GO:0030097	hemopoiesis	0.0916210542038441	1602	1.3092522679283	7.65638550128722e-28	6.55310035055173e-25	99882	649	960	1.17103242954006	7.27785925815347e-11	2.11874821056243e-09	human_coord_hg38.Human_AdrenalGland.conserved_overlap_mouse_MouseToHuman	hg38	BP	GO:BP
GO:0010467	gene expression	0.470696179865531	6898	1.09733346531205	1.71018937317855e-26	1.33068280409411e-23	78201	3930	6132	1.11016073455593	1.8280207239959e-35	3.12920587533617e-33	human_coord_hg38.Human_AdrenalGland.conserved_overlap_mouse_MouseToHuman	hg38	BP	GO:BP
GO:0090304	nucleic acid metabolic process	0.398144558504907	5908	1.11110681086257	1.56987106366587e-25	1.11971053615968e-22	77659	3299	4994	1.14427190769155	4.63408718134673e-45	1.27945652210151e-42	human_coord_hg38.Human_AdrenalGland.conserved_overlap_mouse_MouseToHuman	hg38	BP	GO:BP
GO:0009058	biosynthetic process	0.55598459187319	8003	1.07781982726137	2.93875809667391e-24	1.93483311918708e-21	75502	4847	7556	1.11115982044727	2.35805844280975e-49	8.77505313565595e-47	human_coord_hg38.Human_AdrenalGland.conserved_overlap_mouse_MouseToHuman	hg38	BP	GO:BP
GO:0006950	response to stress	0.29653441027717	4485	1.1325136840284	4.75252440566819e-23	2.90548974200814e-20	74440	2426	3930	1.06928556640344	5.25783830860827e-09	1.22287603487441e-07	human_coord_hg38.Human_AdrenalGland.conserved_overlap_mouse_MouseToHuman	hg38	BP	GO:BP
GO:0009894	regulation of catabolic process	0.087445704183381	1499	1.28356912227785	9.56081751673132e-23	5.45540247504689e-20	76271	769	1025	1.29956478001225	1.27912699034105e-32	1.79476195251296e-30	human_coord_hg38.Human_AdrenalGland.conserved_overlap_mouse_MouseToHuman	hg38	BP	GO:BP
GO:0009059	macromolecule biosynthetic process	0.505203940436514	7290	1.08048043369924	2.8062757514315e-21	1.50118213478139e-18	77556	4226	6558	1.11622961013679	2.88219671880607e-43	7.04820620464604e-41	human_coord_hg38.Human_AdrenalGland.conserved_overlap_mouse_MouseToHuman	hg38	BP	GO:BP
GO:0034654	nucleobase-containing compound biosynthetic process	0.380049405147045	5601	1.10352359431705	6.87178070494297e-21	3.45973947374158e-18	77217	3074	4660	1.14265047609392	2.40444575255512e-40	5.14491279902981e-38	human_coord_hg38.Human_AdrenalGland.conserved_overlap_mouse_MouseToHuman	hg38	BP	GO:BP
GO:0016070	RNA metabolic process	0.369947537316433	5455	1.10410587790618	2.83165840883576e-20	1.34645357340141e-17	79757	2927	4461	1.13654322547274	3.92758223087904e-35	6.55141623576018e-33	human_coord_hg38.Human_AdrenalGland.conserved_overlap_mouse_MouseToHuman	hg38	BP	GO:BP
GO:0006412	translation	0.045947164126774	847	1.38032325941965	3.48475141487748e-20	1.5697888084177e-17	64688	488	654	1.29252077435275	3.97192299676879e-20	2.63532472320497e-18	human_coord_hg38.Human_AdrenalGland.conserved_overlap_mouse_MouseToHuman	hg38	BP	GO:BP
GO:0097193	intrinsic apoptotic signaling pathway	0.0257166864246206	523	1.52279971606223	4.12473017027619e-20	1.76517827636969e-17	81131	245	318	1.33454868848941	2.57049378428295e-13	9.79855068942882e-12	human_coord_hg38.Human_AdrenalGland.conserved_overlap_mouse_MouseToHuman	hg38	BP	GO:BP
GO:1903131	mononuclear cell differentiation	0.0524314573431186	938	1.33957494747767	7.80999756313941e-19	3.18313186394811e-16	105718	352	522	1.16806663534874	2.49852219170576e-06	3.51146985858943e-05	human_coord_hg38.Human_AdrenalGland.conserved_overlap_mouse_MouseToHuman	hg38	BP	GO:BP
GO:0009056	catabolic process	0.197049819773779	3043	1.15633059860445	8.35835862340225e-19	3.25178142989545e-16	70446	1774	2631	1.16796068963443	2.46167988562274e-28	2.80926908547267e-26	human_coord_hg38.Human_AdrenalGland.conserved_overlap_mouse_MouseToHuman	hg38	BP	GO:BP
GO:0030099	myeloid cell differentiation	0.0436407957701548	800	1.37262983232362	1.49405616861378e-18	5.55983771615886e-16	102600	305	446	1.18456920743651	1.83771851378473e-06	2.68413528318831e-05	human_coord_hg38.Human_AdrenalGland.conserved_overlap_mouse_MouseToHuman	hg38	BP	GO:BP
GO:0141187	nucleic acid biosynthetic process	0.363907071635498	5345	1.0997990040959	2.39658650183857e-18	8.5468266121818e-16	78198	2870	4373	1.13683615697135	2.02871239856548e-34	3.27617913572112e-32	human_coord_hg38.Human_AdrenalGland.conserved_overlap_mouse_MouseToHuman	hg38	BP	GO:BP
GO:0006259	DNA metabolic process	0.0758633388389234	1285	1.2683154495303	6.4181527920543e-18	2.19731878988771e-15	66499	725	981	1.28016060301331	2.08211540480638e-27	2.28472124996638e-25	human_coord_hg38.Human_AdrenalGland.conserved_overlap_mouse_MouseToHuman	hg38	BP	GO:BP
GO:0031669	cellular response to nutrient levels	0.0222410169753992	454	1.52847140735565	6.82184043162614e-18	2.2456973943957e-15	66544	188	255	1.27706536682915	6.58879929366376e-08	1.27587179082507e-06	human_coord_hg38.Human_AdrenalGland.conserved_overlap_mouse_MouseToHuman	hg38	BP	GO:BP
GO:0032774	RNA biosynthetic process	0.357677894473626	5241	1.09718071893217	4.51677067652793e-17	1.43181630445935e-14	79247	2789	4265	1.13272617739899	1.66968286660193e-31	2.23293994613218e-29	human_coord_hg38.Human_AdrenalGland.conserved_overlap_mouse_MouseToHuman	hg38	BP	GO:BP
GO:0000956	nuclear-transcribed mRNA catabolic process	0.00895709238834813	221	1.84748672949693	5.08531512506284e-17	1.55447186269332e-14	110118	97	124	1.35501938265781	1.21226512417117e-06	1.84951465201088e-05	human_coord_hg38.Human_AdrenalGland.conserved_overlap_mouse_MouseToHuman	hg38	BP	GO:BP
GO:0002521	leukocyte differentiation	0.0635907715587683	1091	1.28465574628389	1.00397342061281e-16	2.96310638173277e-14	107469	418	628	1.15295430825924	2.46876998534916e-06	3.48683206346592e-05	human_coord_hg38.Human_AdrenalGland.conserved_overlap_mouse_MouseToHuman	hg38	BP	GO:BP
GO:0045935	positive regulation of nucleobase-containing compound metabolic process	0.203063592772812	3094	1.1408915175263	3.35350416788762e-16	9.01117717629317e-14	87393	1465	2010	1.26251639254048	2.41493081550039e-50	9.39517856812173e-48	human_coord_hg38.Human_AdrenalGland.conserved_overlap_mouse_MouseToHuman	hg38	BP	GO:BP
GO:0006914	autophagy	0.0460829542187751	821	1.33400959204667	3.36905794650521e-16	9.01117717629317e-14	73076	451	588	1.32860130366357	9.75763582248535e-23	8.43591969743961e-21	human_coord_hg38.Human_AdrenalGland.conserved_overlap_mouse_MouseToHuman	hg38	BP	GO:BP
GO:0061919	process utilizing autophagic mechanism	0.0460829542187751	821	1.33400959204667	3.36905794650521e-16	9.01117717629317e-14	73076	451	588	1.32860130366357	9.75763582248535e-23	8.43591969743961e-21	human_coord_hg38.Human_AdrenalGland.conserved_overlap_mouse_MouseToHuman	hg38	BP	GO:BP
GO:0019222	regulation of metabolic process	0.499081313078047	7130	1.06973037668079	4.57633027014177e-16	1.18693366006495e-13	79991	4044	6296	1.11260725112665	2.17746743021636e-38	4.33417296167949e-36	human_coord_hg38.Human_AdrenalGland.conserved_overlap_mouse_MouseToHuman	hg38	BP	GO:BP
GO:0046907	intracellular transport	0.112122315196992	1795	1.19874967847619	1.05520484182613e-15	2.65632301211467e-13	58944	1055	1357	1.3466913494693	3.67683293362983e-58	2.62250108991147e-55	human_coord_hg38.Human_AdrenalGland.conserved_overlap_mouse_MouseToHuman	hg38	BP	GO:BP
GO:0006396	RNA processing	0.0652343591327743	1106	1.26950622395054	1.32005190508581e-15	3.22809264446555e-13	57510	692	945	1.2684394609404	2.46187246562277e-24	2.34124071480725e-22	human_coord_hg38.Human_AdrenalGland.conserved_overlap_mouse_MouseToHuman	hg38	BP	GO:BP
GO:1902532	negative regulation of intracellular signal transduction	0.0651173023239935	1104	1.26948852822134	1.40937251959572e-15	3.35078316533882e-13	88742	494	674	1.26958712876024	9.31458229893139e-18	5.21068692134338e-16	human_coord_hg38.Human_AdrenalGland.conserved_overlap_mouse_MouseToHuman	hg38	BP	GO:BP
GO:0080090	regulation of primary metabolic process	0.43901322357109	6313	1.07674854875979	2.66149015461805e-15	6.15667411712862e-13	80429	3464	5277	1.13706750271907	6.8625429518612e-44	1.77989409469636e-41	human_coord_hg38.Human_AdrenalGland.conserved_overlap_mouse_MouseToHuman	hg38	BP	GO:BP
GO:0009144	purine nucleoside triphosphate metabolic process	0.0141441707594402	305	1.6146502202016	3.22021392286802e-15	7.25310814890194e-13	55824	178	249	1.2382721738096	4.31604545905761e-06	5.79013057744108e-05	human_coord_hg38.Human_AdrenalGland.conserved_overlap_mouse_MouseToHuman	hg38	BP	GO:BP
GO:0051254	positive regulation of RNA metabolic process	0.189445615130162	2889	1.14187638603061	3.53101842278438e-15	7.74922735400295e-13	88635	1327	1816	1.26575758082552	2.70173748337779e-46	8.56450782230761e-44	human_coord_hg38.Human_AdrenalGland.conserved_overlap_mouse_MouseToHuman	hg38	BP	GO:BP
GO:0009896	positive regulation of catabolic process	0.0502117341658714	874	1.30335379068884	6.57240586752668e-15	1.40633054550402e-12	82589	415	537	1.33865686481927	4.12248571341559e-22	3.23709680927743e-20	human_coord_hg38.Human_AdrenalGland.conserved_overlap_mouse_MouseToHuman	hg38	BP	GO:BP
GO:0009205	purine ribonucleoside triphosphate metabolic process	0.0137247099042572	295	1.60944058986571	1.31399844528007e-14	2.74305187637856e-12	56457	175	242	1.25261653760222	1.58325857978517e-06	2.34043353788968e-05	human_coord_hg38.Human_AdrenalGland.conserved_overlap_mouse_MouseToHuman	hg38	BP	GO:BP
GO:0009267	cellular response to starvation	0.016773161982242	346	1.54460439185388	1.51392695271645e-14	3.08516685435717e-12	73910	142	189	1.30143355096486	4.02609357831665e-07	6.85076241288513e-06	human_coord_hg38.Human_AdrenalGland.conserved_overlap_mouse_MouseToHuman	hg38	BP	GO:BP
GO:0008630	intrinsic apoptotic signaling pathway in response to DNA damage	0.00827710675036854	199	1.80024091410023	1.88477716657232e-14	3.75158320202152e-12	81271	84	106	1.37267865101768	2.37837621954291e-06	3.38148207027703e-05	human_coord_hg38.Human_AdrenalGland.conserved_overlap_mouse_MouseToHuman	hg38	BP	GO:BP
