id	description	genome_fraction	observed_region_hits	fold_enrichment	p_value	p_adjust	mean_tss_dist	observed_gene_hits	gene_set_size	fold_enrichment_hyper	p_value_hyper	p_adjust_hyper	sample	genome	ontology	ontology_input
GO:0005622	intracellular anatomical structure	0.839869873819097	12519	1.11612733284363	1.06127670584209e-258	1.17271075995551e-255	73525	9224	14622	1.09271768808956	1.99543525022679e-179	2.2049559515006e-176	human_coord_hg38.Human_AdrenalGland.conserved_overlap_mouse_MouseToHuman	hg38	CC	GO:CC
GO:0005575	cellular_component	0.931012191739998	13200	1.06163363782626	5.01556088766866e-225	2.77109739043693e-222	75298	10330	17786	1.00604519692544	8.0575485787867e-07	8.32111325192458e-06	human_coord_hg38.Human_AdrenalGland.conserved_overlap_mouse_MouseToHuman	hg38	CC	GO:CC
GO:0110165	cellular anatomical structure	0.929756114070886	13181	1.06153770532828	1.06678480569112e-216	3.92932403429561e-214	75325	10296	17725	1.00618479107601	1.3080187267751e-06	1.30212675052836e-05	human_coord_hg38.Human_AdrenalGland.conserved_overlap_mouse_MouseToHuman	hg38	CC	GO:CC
GO:0043229	intracellular organelle	0.789252063264588	11775	1.11712378228908	1.33107607425588e-172	3.67709765513187e-170	72824	8356	13075	1.10701165222416	3.36267854372489e-153	1.857879895408e-150	human_coord_hg38.Human_AdrenalGland.conserved_overlap_mouse_MouseToHuman	hg38	CC	GO:CC
GO:0043226	organelle	0.824077108097291	12065	1.0962650883118	4.71215851845426e-148	1.04138703257839e-145	73944	8707	13816	1.09164562440335	1.51231812821873e-137	1.85679059075744e-135	human_coord_hg38.Human_AdrenalGland.conserved_overlap_mouse_MouseToHuman	hg38	CC	GO:CC
GO:0043227	membrane-bounded organelle	0.789126806048902	11613	1.10192931623485	1.76905912456119e-128	3.25801722106686e-126	72560	8251	12993	1.0999998023221	2.88024909349065e-131	2.8933411348247e-129	human_coord_hg38.Human_AdrenalGland.conserved_overlap_mouse_MouseToHuman	hg38	CC	GO:CC
GO:0043231	intracellular membrane-bounded organelle	0.752172530158898	11185	1.11346001895148	1.36399454154375e-126	2.15316281200834e-124	71784	7749	12009	1.11772322333053	8.35136351950212e-143	2.30706417226246e-140	human_coord_hg38.Human_AdrenalGland.conserved_overlap_mouse_MouseToHuman	hg38	CC	GO:CC
GO:0005737	cytoplasm	0.755929675426356	11194	1.10881735674326	8.94009585951033e-119	1.23485074059486e-116	72842	7763	11997	1.12086261941688	5.28490713104875e-150	1.94660745993629e-147	human_coord_hg38.Human_AdrenalGland.conserved_overlap_mouse_MouseToHuman	hg38	CC	GO:CC
GO:0031974	membrane-enclosed lumen	0.423290323001344	6749	1.19387043032702	2.38398090939952e-81	2.39481718626042e-79	67566	4029	5639	1.23762943912025	4.32055233340085e-142	6.8203004691542e-140	human_coord_hg38.Human_AdrenalGland.conserved_overlap_mouse_MouseToHuman	hg38	CC	GO:CC
GO:0043233	organelle lumen	0.423290323001344	6749	1.19387043032702	2.38398090939952e-81	2.39481718626042e-79	67566	4029	5639	1.23762943912025	4.32055233340085e-142	6.8203004691542e-140	human_coord_hg38.Human_AdrenalGland.conserved_overlap_mouse_MouseToHuman	hg38	CC	GO:CC
GO:0070013	intracellular organelle lumen	0.423290323001344	6749	1.19387043032702	2.38398090939952e-81	2.39481718626042e-79	67566	4029	5639	1.23762943912025	4.32055233340085e-142	6.8203004691542e-140	human_coord_hg38.Human_AdrenalGland.conserved_overlap_mouse_MouseToHuman	hg38	CC	GO:CC
GO:0031981	nuclear lumen	0.35590691328901	5818	1.22403377217799	1.53049314105478e-80	1.40932910072127e-78	71674	3305	4491	1.27474661442203	1.86963801263969e-140	2.58243750495858e-138	human_coord_hg38.Human_AdrenalGland.conserved_overlap_mouse_MouseToHuman	hg38	CC	GO:CC
GO:0005654	nucleoplasm	0.332515319653645	5472	1.23222648021484	1.09176400489911e-77	9.27999404164247e-76	72405	3062	4144	1.27991431995228	1.00792869733522e-131	1.11376121055542e-129	human_coord_hg38.Human_AdrenalGland.conserved_overlap_mouse_MouseToHuman	hg38	CC	GO:CC
GO:0005829	cytosol	0.406962348140446	6477	1.19172424306474	2.44342166910241e-74	1.92855781739868e-72	71979	3780	5472	1.19657842934107	2.47737800955965e-93	2.28125225046951e-91	human_coord_hg38.Human_AdrenalGland.conserved_overlap_mouse_MouseToHuman	hg38	CC	GO:CC
GO:0005634	nucleus	0.540019298985346	8133	1.12771043529612	2.13018726077063e-58	1.5692379487677e-56	73972	4950	7485	1.14553629193144	4.23510068236966e-82	3.34270446715605e-80	human_coord_hg38.Human_AdrenalGland.conserved_overlap_mouse_MouseToHuman	hg38	CC	GO:CC
GO:0140513	nuclear protein-containing complex	0.0985287971657041	1778	1.35121570176243	8.3560765118377e-38	5.77091534098791e-36	60878	973	1269	1.32814862385701	1.51201779222963e-48	9.2821092245208e-47	human_coord_hg38.Human_AdrenalGland.conserved_overlap_mouse_MouseToHuman	hg38	CC	GO:CC
GO:0043232	intracellular membraneless organelle	0.42305364169307	6267	1.10922682675217	2.76452752557109e-27	1.76114385808433e-25	80230	3587	5273	1.17833577625289	3.29263951189324e-73	2.42557777376135e-71	human_coord_hg38.Human_AdrenalGland.conserved_overlap_mouse_MouseToHuman	hg38	CC	GO:CC
GO:0043228	membraneless organelle	0.423068179458851	6267	1.10918871072126	2.86883162402877e-27	1.76114385808433e-25	80230	3587	5274	1.1781123527079	4.77851158263096e-73	3.30015956175451e-71	human_coord_hg38.Human_AdrenalGland.conserved_overlap_mouse_MouseToHuman	hg38	CC	GO:CC
GO:1902494	catalytic complex	0.132902081956477	2182	1.22935997526887	4.04873385878969e-24	2.3546583757698e-22	59413	1285	1733	1.28439919115708	2.07094919897373e-50	1.34611697933292e-48	human_coord_hg38.Human_AdrenalGland.conserved_overlap_mouse_MouseToHuman	hg38	CC	GO:CC
GO:0005739	mitochondrion	0.128137018514998	2080	1.21547163399122	9.36192838463466e-21	5.17246543251065e-19	62168	1253	1782	1.21797627779693	7.75014466895013e-31	3.56829577466246e-29	human_coord_hg38.Human_AdrenalGland.conserved_overlap_mouse_MouseToHuman	hg38	CC	GO:CC
GO:0005925	focal adhesion	0.0381510403461708	727	1.42686910048978	1.2578820870638e-20	6.6188557438357e-19	64331	329	423	1.34725867599883	1.52969876093184e-18	4.4482029758676e-17	human_coord_hg38.Human_AdrenalGland.conserved_overlap_mouse_MouseToHuman	hg38	CC	GO:CC
GO:0032991	protein-containing complex	0.420726505780434	6144	1.09347143216595	2.515319603695e-20	1.26337643731044e-18	70412	3781	5518	1.18691724448724	1.91046739206437e-85	1.62389728325472e-83	human_coord_hg38.Human_AdrenalGland.conserved_overlap_mouse_MouseToHuman	hg38	CC	GO:CC
GO:0101002	ficolin-1-rich granule	0.00935600388846207	239	1.91277380222991	5.35235176825667e-20	2.57145595822766e-18	46015	126	184	1.18617339952071	0.00169367910356035	0.00776562410553602	human_coord_hg38.Human_AdrenalGland.conserved_overlap_mouse_MouseToHuman	hg38	CC	GO:CC
GO:0140535	intracellular protein-containing complex	0.0705094061860215	1218	1.29346993561585	1.72710109787687e-19	7.95186130480808e-18	60393	710	937	1.31254504339572	1.97167053162916e-32	9.90316335204647e-31	human_coord_hg38.Human_AdrenalGland.conserved_overlap_mouse_MouseToHuman	hg38	CC	GO:CC
GO:0090575	RNA polymerase II transcription regulator complex	0.0249161721659042	501	1.50561006866239	1.89255985011783e-18	8.36511453752083e-17	94769	195	252	1.34038490724374	3.48717923258168e-11	5.75124336119815e-10	human_coord_hg38.Human_AdrenalGland.conserved_overlap_mouse_MouseToHuman	hg38	CC	GO:CC
GO:0030055	cell-substrate junction	0.0396843465742035	736	1.38871999373789	3.12375970702241e-18	1.32759787548452e-16	65121	334	433	1.33614634775734	8.28450991176064e-18	2.28859586312388e-16	human_coord_hg38.Human_AdrenalGland.conserved_overlap_mouse_MouseToHuman	hg38	CC	GO:CC
GO:0005740	mitochondrial envelope	0.0533898302857676	946	1.32674880064702	6.21847108364006e-18	2.54496686941565e-16	58687	574	807	1.23206555500265	6.22004410007928e-16	1.56207925695173e-14	human_coord_hg38.Human_AdrenalGland.conserved_overlap_mouse_MouseToHuman	hg38	CC	GO:CC
GO:0031966	mitochondrial membrane	0.0511728705333129	901	1.31838155789639	1.78160978137374e-16	7.03099574434995e-15	59901	538	761	1.22459667902879	3.21719836484758e-14	7.56383870884377e-13	human_coord_hg38.Human_AdrenalGland.conserved_overlap_mouse_MouseToHuman	hg38	CC	GO:CC
GO:1990904	ribonucleoprotein complex	0.0436584496224787	781	1.33948801559277	7.84349616693766e-16	2.98864250498831e-14	50162	493	681	1.25399344355083	4.69372543210887e-16	1.20617827964658e-14	human_coord_hg38.Human_AdrenalGland.conserved_overlap_mouse_MouseToHuman	hg38	CC	GO:CC
GO:0016604	nuclear body	0.0720240131715433	1204	1.2517144850963	2.88273591482559e-15	1.06180772862742e-13	70554	631	838	1.3043099251615	1.42679148735703e-27	5.83927627233156e-26	human_coord_hg38.Human_AdrenalGland.conserved_overlap_mouse_MouseToHuman	hg38	CC	GO:CC
GO:1904813	ficolin-1-rich granule lumen	0.00644174062750611	167	1.94119580688729	5.60052606307142e-15	1.99631654828836e-13	37133	90	124	1.25723447875467	0.000421190101023161	0.00229268503266302	human_coord_hg38.Human_AdrenalGland.conserved_overlap_mouse_MouseToHuman	hg38	CC	GO:CC
GO:0031967	organelle envelope	0.0934598420988196	1512	1.21138685256235	1.41464459638782e-14	4.88494462190168e-13	55652	909	1268	1.24176692523056	1.28787722375294e-26	5.0825154723107e-25	human_coord_hg38.Human_AdrenalGland.conserved_overlap_mouse_MouseToHuman	hg38	CC	GO:CC
GO:0005765	lysosomal membrane	0.0308979959166835	564	1.36679977986595	3.93783273541683e-13	1.27979563901047e-11	71245	323	443	1.26297354760677	1.39891227736718e-11	2.53409519096841e-10	human_coord_hg38.Human_AdrenalGland.conserved_overlap_mouse_MouseToHuman	hg38	CC	GO:CC
GO:0098852	lytic vacuole membrane	0.0308979959166835	564	1.36679977986595	3.93783273541683e-13	1.27979563901047e-11	71245	323	443	1.26297354760677	1.39891227736718e-11	2.53409519096841e-10	human_coord_hg38.Human_AdrenalGland.conserved_overlap_mouse_MouseToHuman	hg38	CC	GO:CC
GO:0005774	vacuolar membrane	0.0345846922339155	620	1.34234417284557	5.73630230788342e-13	1.81103258577462e-11	74158	353	485	1.2607483987182	2.31494041801291e-12	4.56787350340048e-11	human_coord_hg38.Human_AdrenalGland.conserved_overlap_mouse_MouseToHuman	hg38	CC	GO:CC
GO:0019866	organelle inner membrane	0.0341924074387087	613	1.34241532752712	7.70347173488938e-13	2.3645378519591e-11	58761	383	541	1.22630067498494	1.30518671524712e-10	2.12092841227658e-09	human_coord_hg38.Human_AdrenalGland.conserved_overlap_mouse_MouseToHuman	hg38	CC	GO:CC
GO:0005743	mitochondrial inner membrane	0.0297006990638217	543	1.36895529470926	8.50276871131441e-13	2.53934038540606e-11	58337	347	487	1.23422964069943	2.82095209426192e-10	4.45307437737059e-09	human_coord_hg38.Human_AdrenalGland.conserved_overlap_mouse_MouseToHuman	hg38	CC	GO:CC
GO:0005667	transcription regulator complex	0.0565951000827903	951	1.258223500053	1.03602259231912e-12	3.01264464345427e-11	89838	392	516	1.31592707888258	1.22769198558051e-18	3.66648552450395e-17	human_coord_hg38.Human_AdrenalGland.conserved_overlap_mouse_MouseToHuman	hg38	CC	GO:CC
GO:0005730	nucleolus	0.0814805951017522	1304	1.1983384843006	1.72316248717959e-11	4.88229371367552e-10	67659	737	996	1.28175083159786	3.96858792952863e-28	1.68664987004967e-26	human_coord_hg38.Human_AdrenalGland.conserved_overlap_mouse_MouseToHuman	hg38	CC	GO:CC
GO:0005840	ribosome	0.0119497214473256	249	1.56026250828131	2.69850244446714e-11	7.45461300284047e-10	42397	165	225	1.27027246594176	7.33414865923422e-07	7.64550402684322e-06	human_coord_hg38.Human_AdrenalGland.conserved_overlap_mouse_MouseToHuman	hg38	CC	GO:CC
GO:0070062	extracellular exosome	0.152121240817736	2307	1.13556982311803	3.72915231467262e-11	1.00505202627152e-09	60888	1287	2080	1.07179239313836	2.50749324695067e-05	0.000192880987727582	human_coord_hg38.Human_AdrenalGland.conserved_overlap_mouse_MouseToHuman	hg38	CC	GO:CC
GO:0031090	organelle membrane	0.288461245161549	4195	1.08893159515364	4.5615221142836e-11	1.20011474673414e-09	68459	2527	3758	1.16478005277281	6.38146362335826e-41	3.71132489674257e-39	human_coord_hg38.Human_AdrenalGland.conserved_overlap_mouse_MouseToHuman	hg38	CC	GO:CC
GO:0005741	mitochondrial outer membrane	0.0178541597725153	344	1.44269701547359	5.45509405602386e-11	1.40183230974567e-09	65357	172	227	1.31249618026822	8.50757861353535e-09	1.14644809365324e-07	human_coord_hg38.Human_AdrenalGland.conserved_overlap_mouse_MouseToHuman	hg38	CC	GO:CC
GO:0044391	ribosomal subunit	0.00908326495871047	197	1.62397878339901	1.42616174386485e-10	3.58161074311513e-09	46297	130	180	1.25102591342749	3.68977287362369e-05	0.000264753183464557	human_coord_hg38.Human_AdrenalGland.conserved_overlap_mouse_MouseToHuman	hg38	CC	GO:CC
GO:1990234	transferase complex	0.0720583428866088	1155	1.20020054977016	2.01571366172014e-10	4.94969688044613e-09	56948	664	896	1.28367631501419	1.08983629560666e-25	4.15265209188054e-24	human_coord_hg38.Human_AdrenalGland.conserved_overlap_mouse_MouseToHuman	hg38	CC	GO:CC
GO:0015934	large ribosomal subunit	0.00516877638366034	126	1.82531956562235	4.43349227037882e-10	1.06500194755839e-08	27423	84	110	1.32276306370795	3.26751039549195e-05	0.000239112515696596	human_coord_hg38.Human_AdrenalGland.conserved_overlap_mouse_MouseToHuman	hg38	CC	GO:CC
GO:0031968	organelle outer membrane	0.0205223577228245	380	1.38647630160307	5.52053619746903e-10	1.29791329749006e-08	65608	190	256	1.28560956247657	2.39538253276169e-08	2.97404235809176e-07	human_coord_hg38.Human_AdrenalGland.conserved_overlap_mouse_MouseToHuman	hg38	CC	GO:CC
GO:0016607	nuclear speck	0.0367079011493091	627	1.27898100624085	8.38699530905199e-10	1.89152824959542e-08	72562	323	413	1.35471496752979	6.89274585667028e-19	2.24014240341784e-17	human_coord_hg38.Human_AdrenalGland.conserved_overlap_mouse_MouseToHuman	hg38	CC	GO:CC
GO:0005759	mitochondrial matrix	0.0328715591501117	569	1.29612852972035	8.43050085285082e-10	1.89152824959542e-08	42084	365	514	1.23005690679716	1.93229287411372e-10	3.09446902303719e-09	human_coord_hg38.Human_AdrenalGland.conserved_overlap_mouse_MouseToHuman	hg38	CC	GO:CC
GO:0043230	extracellular organelle	0.155053150782467	2327	1.12375566767332	8.73013038274811e-10	1.89152824959542e-08	60676	1300	2111	1.0667203430457	7.31453450431407e-05	0.000486901242606448	human_coord_hg38.Human_AdrenalGland.conserved_overlap_mouse_MouseToHuman	hg38	CC	GO:CC
GO:0065010	extracellular membrane-bounded organelle	0.155053150782467	2327	1.12375566767332	8.73013038274811e-10	1.89152824959542e-08	60676	1300	2111	1.0667203430457	7.31453450431407e-05	0.000486901242606448	human_coord_hg38.Human_AdrenalGland.conserved_overlap_mouse_MouseToHuman	hg38	CC	GO:CC
GO:1903561	extracellular vesicle	0.155003085409055	2324	1.12266940722498	1.21150859571203e-09	2.57445576588806e-08	60740	1299	2110	1.06640495471241	7.90097977717074e-05	0.0005196775389151	human_coord_hg38.Human_AdrenalGland.conserved_overlap_mouse_MouseToHuman	hg38	CC	GO:CC
GO:0005815	microtubule organizing center	0.0765236349901544	1210	1.18398414437053	1.34351420621905e-09	2.80110037334348e-08	85410	639	868	1.27519497130831	1.6959144427985e-23	6.24661819764115e-22	human_coord_hg38.Human_AdrenalGland.conserved_overlap_mouse_MouseToHuman	hg38	CC	GO:CC
