id	description	genome_fraction	observed_region_hits	fold_enrichment	p_value	p_adjust	mean_tss_dist	observed_gene_hits	gene_set_size	fold_enrichment_hyper	p_value_hyper	p_adjust_hyper	sample	genome	ontology	ontology_input
GO:0003674	molecular_function	0.92051304364007	13125	1.06764156419428	1.60859572495525e-222	3.08206940901425e-219	75281	10212	17417	1.01562390106301	1.321365559015e-23	2.16387506853194e-21	human_coord_hg38.Human_AdrenalGland.conserved_overlap_mouse_MouseToHuman	hg38	MF	GO:MF
GO:0005488	binding	0.897082444117382	12853	1.07282344928582	4.4594429748488e-175	4.27214636990515e-172	74626	9735	16060	1.04999171764488	4.61632141021632e-92	4.42243591098723e-89	human_coord_hg38.Human_AdrenalGland.conserved_overlap_mouse_MouseToHuman	hg38	MF	GO:MF
GO:0005515	protein binding	0.843117440899637	12280	1.09060227966446	2.40748679619371e-153	1.53758156716905e-150	74452	8962	14308	1.08497933512435	8.48468886886508e-137	1.62566638727455e-133	human_coord_hg38.Human_AdrenalGland.conserved_overlap_mouse_MouseToHuman	hg38	MF	GO:MF
GO:0003723	RNA binding	0.119509651586858	2107	1.32013292556639	2.5262461337434e-39	1.21007189806309e-36	54608	1227	1656	1.28345217038088	9.75775259293787e-48	4.67396349201724e-45	human_coord_hg38.Human_AdrenalGland.conserved_overlap_mouse_MouseToHuman	hg38	MF	GO:MF
GO:0019899	enzyme binding	0.180202742135461	2906	1.20750884954314	3.05214787491631e-28	1.16958306566793e-25	73794	1504	2052	1.26959714830968	2.85443517209868e-54	1.82303259658036e-51	human_coord_hg38.Human_AdrenalGland.conserved_overlap_mouse_MouseToHuman	hg38	MF	GO:MF
GO:0008134	transcription factor binding	0.0668032236050763	1169	1.31030741545743	2.26284985347794e-20	7.22603386543956e-18	88753	463	588	1.36395211440407	8.76742925393207e-28	2.39977063579055e-25	human_coord_hg38.Human_AdrenalGland.conserved_overlap_mouse_MouseToHuman	hg38	MF	GO:MF
GO:0003676	nucleic acid binding	0.305581103599691	4568	1.11932372185711	7.49940760793522e-20	2.05269499668627e-17	75714	2533	3902	1.12445837434083	4.16423439466359e-25	7.97867310017544e-23	human_coord_hg38.Human_AdrenalGland.conserved_overlap_mouse_MouseToHuman	hg38	MF	GO:MF
GO:0044389	ubiquitin-like protein ligase binding	0.0264404184591188	531	1.50377307487604	2.223542608937e-19	5.32538454840411e-17	76772	249	319	1.35208539763251	1.10168933905456e-14	5.14838237470376e-13	human_coord_hg38.Human_AdrenalGland.conserved_overlap_mouse_MouseToHuman	hg38	MF	GO:MF
GO:0031625	ubiquitin protein ligase binding	0.0257878216355494	505	1.4663337412062	1.28172280575474e-16	2.49175084973955e-14	79464	233	300	1.34533402074741	2.1154412451549e-13	9.65044148980189e-12	human_coord_hg38.Human_AdrenalGland.conserved_overlap_mouse_MouseToHuman	hg38	MF	GO:MF
GO:0003712	transcription coregulator activity	0.0522183008883253	918	1.31636416912681	1.30049626813129e-16	2.49175084973955e-14	76329	385	490	1.36100621350903	5.87208364125102e-23	8.03636589759783e-21	human_coord_hg38.Human_AdrenalGland.conserved_overlap_mouse_MouseToHuman	hg38	MF	GO:MF
GO:0140297	DNA-binding transcription factor binding	0.0567504128620637	984	1.29832129575951	2.93221174203136e-16	5.10737972521098e-14	86421	383	485	1.3678941549832	1.35524534563587e-23	2.16387506853194e-21	human_coord_hg38.Human_AdrenalGland.conserved_overlap_mouse_MouseToHuman	hg38	MF	GO:MF
GO:0060090	molecular adaptor activity	0.118284496838609	1879	1.18947429427981	2.91192332363959e-15	4.64937090674455e-13	73959	922	1243	1.28485834886086	7.27613956848513e-36	2.7882166826435e-33	human_coord_hg38.Human_AdrenalGland.conserved_overlap_mouse_MouseToHuman	hg38	MF	GO:MF
GO:0001221	transcription coregulator binding	0.0147813301212774	315	1.59570698070009	4.83421925678088e-15	7.12489545845551e-13	106162	95	115	1.43093933910435	1.05178924072205e-08	3.19877489718009e-07	human_coord_hg38.Human_AdrenalGland.conserved_overlap_mouse_MouseToHuman	hg38	MF	GO:MF
GO:0019900	kinase binding	0.0760584792482443	1259	1.239464807123	8.97262950889574e-15	1.22796843850316e-12	88889	571	756	1.30830731971996	1.39040793500473e-25	2.96002400385451e-23	human_coord_hg38.Human_AdrenalGland.conserved_overlap_mouse_MouseToHuman	hg38	MF	GO:MF
GO:0030674	protein-macromolecule adaptor activity	0.105674754629392	1688	1.19607193983121	1.83893255123574e-14	2.34892984544512e-12	71190	825	1099	1.30032440781117	3.76137221878502e-35	1.20113152853202e-32	human_coord_hg38.Human_AdrenalGland.conserved_overlap_mouse_MouseToHuman	hg38	MF	GO:MF
GO:0061629	RNA polymerase II-specific DNA-binding transcription factor binding	0.0402165717047065	715	1.33124228345196	4.43668813730887e-14	5.31293404442737e-12	90783	276	346	1.38174671807643	1.84277955421952e-18	1.26098772353022e-16	human_coord_hg38.Human_AdrenalGland.conserved_overlap_mouse_MouseToHuman	hg38	MF	GO:MF
GO:0044877	protein-containing complex binding	0.106856950683138	1691	1.18494157768364	3.08073783806852e-13	3.47217276337605e-11	69166	880	1278	1.19274409947583	1.53433755806104e-17	9.483196004016e-16	human_coord_hg38.Human_AdrenalGland.conserved_overlap_mouse_MouseToHuman	hg38	MF	GO:MF
GO:0019901	protein kinase binding	0.0695793135839631	1140	1.22681991974732	2.13936310665912e-12	2.27723317353271e-10	88864	512	677	1.31001645473784	3.00779653030209e-23	4.43302934773754e-21	human_coord_hg38.Human_AdrenalGland.conserved_overlap_mouse_MouseToHuman	hg38	MF	GO:MF
GO:0003713	transcription coactivator activity	0.0256238614948564	476	1.39097230230215	2.44659390251542e-12	2.4671967985366e-10	83976	198	254	1.35028962915069	7.29903091200741e-12	2.91352983904296e-10	human_coord_hg38.Human_AdrenalGland.conserved_overlap_mouse_MouseToHuman	hg38	MF	GO:MF
GO:0042826	histone deacetylase binding	0.0119357490977278	250	1.56836244865069	1.52377383316152e-11	1.45977533216873e-09	78367	100	127	1.36392891833403	4.69620355051323e-07	1.11085506207202e-05	human_coord_hg38.Human_AdrenalGland.conserved_overlap_mouse_MouseToHuman	hg38	MF	GO:MF
GO:0004860	protein kinase inhibitor activity	0.0076165549534096	174	1.7105933370069	3.90395268209497e-11	3.50649441201516e-09	88593	70	82	1.47869854682799	6.52798163036096e-08	1.86680788115994e-06	human_coord_hg38.Human_AdrenalGland.conserved_overlap_mouse_MouseToHuman	hg38	MF	GO:MF
GO:0019210	kinase inhibitor activity	0.00801842425076698	181	1.69022940037526	4.02624619333682e-11	3.50649441201516e-09	87194	73	88	1.43693011384941	3.8623123246204e-07	9.36732963794011e-06	human_coord_hg38.Human_AdrenalGland.conserved_overlap_mouse_MouseToHuman	hg38	MF	GO:MF
GO:0140311	protein sequestering activity	0.00225825385626501	70	2.32103338437735	3.92858910073952e-10	3.27268552913779e-08	39369	28	31	1.56455846245026	8.08782018772539e-05	0.00122986218092713	human_coord_hg38.Human_AdrenalGland.conserved_overlap_mouse_MouseToHuman	hg38	MF	GO:MF
GO:0016406	carnitine O-acyltransferase activity	0.0003371112729355	23	5.10870315220116	5.55719733806079e-10	4.4364958748852e-08	167985	5	5	1.73218972628421	0.0640989019621282	0.193407080566044	human_coord_hg38.Human_AdrenalGland.conserved_overlap_mouse_MouseToHuman	hg38	MF	GO:MF
GO:0031072	heat shock protein binding	0.00964639973420143	199	1.54469922799878	5.09501726450614e-09	3.9048212315175e-07	77543	87	127	1.1866181589506	0.00806553394342944	0.0455857316684685	human_coord_hg38.Human_AdrenalGland.conserved_overlap_mouse_MouseToHuman	hg38	MF	GO:MF
GO:0003682	chromatin binding	0.0649688589598856	1035	1.19286478570936	5.96604644843538e-09	4.396517305847e-07	86150	471	606	1.34630587636941	6.28916198424323e-26	1.50625429522625e-23	human_coord_hg38.Human_AdrenalGland.conserved_overlap_mouse_MouseToHuman	hg38	MF	GO:MF
GO:0043422	protein kinase B binding	0.000401291966925241	23	4.29164190821934	1.35812465181618e-08	9.63765493659186e-07	26937	10	10	1.73218972628421	0.00410459861647598	0.028239123998563	human_coord_hg38.Human_AdrenalGland.conserved_overlap_mouse_MouseToHuman	hg38	MF	GO:MF
GO:0003714	transcription corepressor activity	0.0232395504662341	410	1.32102866456431	2.6592538112176e-08	1.81968939367604e-06	73367	165	204	1.401035808024	1.52071738797168e-12	6.4748767007861e-11	human_coord_hg38.Human_AdrenalGland.conserved_overlap_mouse_MouseToHuman	hg38	MF	GO:MF
GO:0140313	molecular sequestering activity	0.00341234045378194	87	1.9090750660312	2.98354692998977e-08	1.97119859236565e-06	40155	39	53	1.27463017594499	0.0123957993394867	0.0633342707585506	human_coord_hg38.Human_AdrenalGland.conserved_overlap_mouse_MouseToHuman	hg38	MF	GO:MF
GO:0031435	mitogen-activated protein kinase kinase kinase binding	0.00146358336613859	48	2.45572583973127	3.91484668794561e-08	2.50028208470126e-06	84342	14	16	1.51566601049869	0.011700279898139	0.0615871875956989	human_coord_hg38.Human_AdrenalGland.conserved_overlap_mouse_MouseToHuman	hg38	MF	GO:MF
GO:0016922	nuclear receptor binding	0.0149426078540664	279	1.39808608005122	5.03303166188604e-08	3.1107382787657e-06	92451	112	136	1.42650918635171	7.38344367529615e-10	2.48187334769604e-08	human_coord_hg38.Human_AdrenalGland.conserved_overlap_mouse_MouseToHuman	hg38	MF	GO:MF
GO:0030911	TPR domain binding	0.000335129082424671	20	4.46862577152801	6.11272542982016e-08	3.65999435110482e-06	36214	7	7	1.73218972628421	0.0213535608944716	0.0897924960366368	human_coord_hg38.Human_AdrenalGland.conserved_overlap_mouse_MouseToHuman	hg38	MF	GO:MF
GO:0001222	transcription corepressor binding	0.00600968470982942	132	1.64466841057555	6.90664642696784e-08	4.01004077396072e-06	127123	41	49	1.44938324036026	9.9149169430833e-05	0.00148413912991778	human_coord_hg38.Human_AdrenalGland.conserved_overlap_mouse_MouseToHuman	hg38	MF	GO:MF
GO:0140104	molecular carrier activity	0.0163342740941803	298	1.36606867520181	1.33195237026522e-07	7.50594335714168e-06	40419	178	249	1.2382721738096	4.31604545905761e-06	9.14583341607638e-05	human_coord_hg38.Human_AdrenalGland.conserved_overlap_mouse_MouseToHuman	hg38	MF	GO:MF
GO:0046933	proton-transporting ATP synthase activity, rotational mechanism	0.000459811690934715	23	3.74544940166094	1.48499106317357e-07	8.12926536297303e-06	85932	12	15	1.38575178102737	0.0650170568395094	0.19403844377648	human_coord_hg38.Human_AdrenalGland.conserved_overlap_mouse_MouseToHuman	hg38	MF	GO:MF
GO:0071889	14-3-3 protein binding	0.00486259518013837	110	1.69387234484496	2.05976534765734e-07	1.09625289058652e-05	118813	30	33	1.57471793298565	3.23491230668969e-05	0.000543692278913811	human_coord_hg38.Human_AdrenalGland.conserved_overlap_mouse_MouseToHuman	hg38	MF	GO:MF
GO:0003735	structural constituent of ribosome	0.00842016657627814	170	1.51176520654697	2.33365084004285e-07	1.19168204815622e-05	50125	112	156	1.24362339322969	0.000184709338967473	0.00252787923901199	human_coord_hg38.Human_AdrenalGland.conserved_overlap_mouse_MouseToHuman	hg38	MF	GO:MF
GO:0003997	acyl-CoA oxidase activity	0.000472463601413161	23	3.64515153661985	2.36346126461046e-07	1.19168204815622e-05	171189	5	7	1.2372783759173	0.371477750595781	0.637770044929674	human_coord_hg38.Human_AdrenalGland.conserved_overlap_mouse_MouseToHuman	hg38	MF	GO:MF
GO:0070180	large ribosomal subunit rRNA binding	0.000105673255136141	11	7.79441826524733	3.04822423349848e-07	1.49753785420079e-05	38367	5	5	1.73218972628421	0.0640989019621282	0.193407080566044	human_coord_hg38.Human_AdrenalGland.conserved_overlap_mouse_MouseToHuman	hg38	MF	GO:MF
GO:0030291	protein serine/threonine kinase inhibitor activity	0.00394693924295445	93	1.76432510987058	3.20197082792484e-07	1.533744026576e-05	69483	39	45	1.50123109611299	2.80904483711126e-05	0.000480547313205819	human_coord_hg38.Human_AdrenalGland.conserved_overlap_mouse_MouseToHuman	hg38	MF	GO:MF
