id	description	genome_fraction	observed_region_hits	fold_enrichment	p_value	p_adjust	mean_tss_dist	observed_gene_hits	gene_set_size	fold_enrichment_hyper	p_value_hyper	p_adjust_hyper	sample	genome	ontology	ontology_input
GO:0002376	immune system process	0.195538453123389	26327	1.29637080857536	0	0	143494	2394	2597	1.00927538009415	0.0514881928135107	0.287674018751026	human_coord_hg38.Human_AdrenalGland.specific_no_overlap_mouse_MouseToHuman	hg38	BP	GO:BP
GO:0033554	cellular response to stress	0.155480609161927	20867	1.29224192627984	0	0	147634	1738	1840	1.03416403911446	7.78048566836984e-08	3.96367663150437e-06	human_coord_hg38.Human_AdrenalGland.specific_no_overlap_mouse_MouseToHuman	hg38	BP	GO:BP
GO:0009056	catabolic process	0.197049819773779	26421	1.29102084342934	0	0	134692	2462	2631	1.02453000852272	2.99800091945354e-06	0.000105781604426477	human_coord_hg38.Human_AdrenalGland.specific_no_overlap_mouse_MouseToHuman	hg38	BP	GO:BP
GO:0006950	response to stress	0.29653441027717	39042	1.26770150301111	0	0	141937	3650	3930	1.01685211668712	4.61312270927383e-05	0.00123762712212116	human_coord_hg38.Human_AdrenalGland.specific_no_overlap_mouse_MouseToHuman	hg38	BP	GO:BP
GO:1902531	regulation of intracellular signal transduction	0.196424300632535	25643	1.25699532289834	0	0	158918	1863	1942	1.05031873495976	6.6735287133618e-17	1.00859263954608e-14	human_coord_hg38.Human_AdrenalGland.specific_no_overlap_mouse_MouseToHuman	hg38	BP	GO:BP
GO:0035556	intracellular signal transduction	0.285586500440999	36349	1.22550429508717	0	0	158934	2815	2942	1.04759450977378	3.89598618270501e-23	2.07816486498642e-20	human_coord_hg38.Human_AdrenalGland.specific_no_overlap_mouse_MouseToHuman	hg38	BP	GO:BP
GO:0006996	organelle organization	0.285762801360086	36037	1.21423565104896	0	0	146305	3314	3522	1.03019784095085	9.93119258442883e-12	9.1893933015919e-10	human_coord_hg38.Human_AdrenalGland.specific_no_overlap_mouse_MouseToHuman	hg38	BP	GO:BP
GO:0009966	regulation of signal transduction	0.3025241583647	37969	1.20845127057938	0	0	163120	2905	3024	1.05177255182069	2.42750952191725e-28	1.8343880287288e-25	human_coord_hg38.Human_AdrenalGland.specific_no_overlap_mouse_MouseToHuman	hg38	BP	GO:BP
GO:0048583	regulation of response to stimulus	0.364180723537077	45323	1.19828945978421	0	0	158411	3766	3971	1.03833599974982	6.646831762553e-21	2.3182104008781e-18	human_coord_hg38.Human_AdrenalGland.specific_no_overlap_mouse_MouseToHuman	hg38	BP	GO:BP
GO:0019538	protein metabolic process	0.346530443445217	42837	1.19024865362042	0	0	147255	4016	4293	1.02421303462591	8.55349428006414e-10	6.10732961666312e-08	human_coord_hg38.Human_AdrenalGland.specific_no_overlap_mouse_MouseToHuman	hg38	BP	GO:BP
GO:0009893	positive regulation of metabolic process	0.325779354621808	40161	1.18697344875037	0	0	160421	3340	3508	1.0424239120022	3.18295027505044e-22	1.51910489969249e-19	human_coord_hg38.Human_AdrenalGland.specific_no_overlap_mouse_MouseToHuman	hg38	BP	GO:BP
GO:0010604	positive regulation of macromolecule metabolic process	0.303629123197271	37335	1.18394840043702	0	0	163300	3051	3204	1.04257470332365	2.80466781710071e-20	8.20410573079652e-18	human_coord_hg38.Human_AdrenalGland.specific_no_overlap_mouse_MouseToHuman	hg38	BP	GO:BP
GO:0042221	response to chemical	0.316119940443573	38833	1.18279395486435	0	0	155431	3440	3844	0.97978897095752	0.999996750903889	1	human_coord_hg38.Human_AdrenalGland.specific_no_overlap_mouse_MouseToHuman	hg38	BP	GO:BP
GO:0006810	transport	0.362862609057855	44137	1.17117188099255	0	0	146649	4113	4319	1.04263665364073	2.0021731721569e-28	1.65051875682898e-25	human_coord_hg38.Human_AdrenalGland.specific_no_overlap_mouse_MouseToHuman	hg38	BP	GO:BP
GO:0023051	regulation of signaling	0.350829675777112	42564	1.16817029177002	0	0	167595	3317	3449	1.05295487603961	2.37719733256586e-34	4.31128508234144e-31	human_coord_hg38.Human_AdrenalGland.specific_no_overlap_mouse_MouseToHuman	hg38	BP	GO:BP
GO:0051234	establishment of localization	0.383887998258357	46442	1.16484039872056	0	0	147324	4406	4631	1.04166289565349	1.79744848939434e-29	1.81102921131421e-26	human_coord_hg38.Human_AdrenalGland.specific_no_overlap_mouse_MouseToHuman	hg38	BP	GO:BP
GO:0051179	localization	0.427465692084605	51476	1.15948082972559	0	0	147122	4985	5235	1.04257176593912	9.02990157599304e-36	2.72943824970349e-32	human_coord_hg38.Human_AdrenalGland.specific_no_overlap_mouse_MouseToHuman	hg38	BP	GO:BP
GO:0019222	regulation of metabolic process	0.499081313078047	59646	1.15072105629659	0	0	154112	5920	6296	1.0294718371306	4.46867284123371e-22	1.84190569655942e-19	human_coord_hg38.Human_AdrenalGland.specific_no_overlap_mouse_MouseToHuman	hg38	BP	GO:BP
GO:0006139	nucleobase-containing compound metabolic process	0.429241039330614	51218	1.14889786643063	0	0	152589	5223	5549	1.03053508935069	4.58075446524563e-20	1.22171416149551e-17	human_coord_hg38.Human_AdrenalGland.specific_no_overlap_mouse_MouseToHuman	hg38	BP	GO:BP
GO:0010467	gene expression	0.470696179865531	56118	1.14794625615741	0	0	153956	5739	6132	1.02468779051877	2.42293861387285e-15	2.88636210870478e-13	human_coord_hg38.Human_AdrenalGland.specific_no_overlap_mouse_MouseToHuman	hg38	BP	GO:BP
GO:0080090	regulation of primary metabolic process	0.43901322357109	52323	1.14755914917532	0	0	156935	4980	5277	1.03323648069707	3.67766134682678e-22	1.66745165465126e-19	human_coord_hg38.Human_AdrenalGland.specific_no_overlap_mouse_MouseToHuman	hg38	BP	GO:BP
GO:0060255	regulation of macromolecule metabolic process	0.468892648954547	55842	1.14669411865216	0	0	156734	5422	5767	1.02935942356691	1.47459199425762e-19	3.61394600106165e-17	human_coord_hg38.Human_AdrenalGland.specific_no_overlap_mouse_MouseToHuman	hg38	BP	GO:BP
GO:0009889	regulation of biosynthetic process	0.429413848353726	51116	1.14614842061888	0	0	156766	4862	5164	1.03082799337552	1.06060392655624e-18	2.13723475689154e-16	human_coord_hg38.Human_AdrenalGland.specific_no_overlap_mouse_MouseToHuman	hg38	BP	GO:BP
GO:0010468	regulation of gene expression	0.410563182895438	48852	1.14567752028792	0	0	157451	4593	4879	1.03067824721211	2.58326538607081e-17	4.18304473587323e-15	human_coord_hg38.Human_AdrenalGland.specific_no_overlap_mouse_MouseToHuman	hg38	BP	GO:BP
GO:0010556	regulation of macromolecule biosynthetic process	0.418647931383668	49765	1.14455088016647	0	0	157912	4699	4992	1.0305957597092	1.05945537205024e-17	1.96064108443909e-15	human_coord_hg38.Human_AdrenalGland.specific_no_overlap_mouse_MouseToHuman	hg38	BP	GO:BP
GO:0051716	cellular response to stimulus	0.56042274297869	66607	1.14436394654855	0	0	154506	6596	7184	1.00524473286742	0.0341248422153645	0.221315314412164	human_coord_hg38.Human_AdrenalGland.specific_no_overlap_mouse_MouseToHuman	hg38	BP	GO:BP
GO:0048518	positive regulation of biological process	0.519234451990383	61693	1.14401688289965	0	0	156651	5790	6118	1.03615940653811	1.45002890225754e-31	2.19147701427855e-28	human_coord_hg38.Human_AdrenalGland.specific_no_overlap_mouse_MouseToHuman	hg38	BP	GO:BP
GO:0048523	negative regulation of cellular process	0.453800411077241	53816	1.14184347533936	0	0	162697	4747	5033	1.03264199852487	3.31388513401763e-20	9.10615466523391e-18	human_coord_hg38.Human_AdrenalGland.specific_no_overlap_mouse_MouseToHuman	hg38	BP	GO:BP
GO:0044238	primary metabolic process	0.646785645554604	76689	1.1416493844101	0	0	146659	8889	9465	1.02822881613909	7.79319363988454e-38	7.0668679926473e-34	human_coord_hg38.Human_AdrenalGland.specific_no_overlap_mouse_MouseToHuman	hg38	BP	GO:BP
