id	description	genome_fraction	observed_region_hits	fold_enrichment	p_value	p_adjust	mean_tss_dist	observed_gene_hits	gene_set_size	fold_enrichment_hyper	p_value_hyper	p_adjust_hyper	sample	genome	ontology	ontology_input
GO:0070062	extracellular exosome	0.152121240817736	21241	1.34445151430425	0	0	119809	1951	2080	1.02695500856828	6.35498045369659e-06	0.000120341137797778	human_coord_hg38.Human_AdrenalGland.specific_no_overlap_mouse_MouseToHuman	hg38	CC	GO:CC
GO:0043230	extracellular organelle	0.155053150782467	21471	1.33331179484362	0	0	120868	1980	2111	1.02691486353792	5.53614019183379e-06	0.000110076920814295	human_coord_hg38.Human_AdrenalGland.specific_no_overlap_mouse_MouseToHuman	hg38	CC	GO:CC
GO:0065010	extracellular membrane-bounded organelle	0.155053150782467	21471	1.33331179484362	0	0	120868	1980	2111	1.02691486353792	5.53614019183379e-06	0.000110076920814295	human_coord_hg38.Human_AdrenalGland.specific_no_overlap_mouse_MouseToHuman	hg38	CC	GO:CC
GO:1903561	extracellular vesicle	0.155003085409055	21460	1.33305914767266	0	0	120897	1979	2110	1.02688266337345	5.71094478571924e-06	0.000111691100481361	human_coord_hg38.Human_AdrenalGland.specific_no_overlap_mouse_MouseToHuman	hg38	CC	GO:CC
GO:0005829	cytosol	0.406962348140446	53177	1.25814196167497	0	0	139909	5076	5472	1.01562412296294	3.22212201786528e-06	7.11850290243199e-05	human_coord_hg38.Human_AdrenalGland.specific_no_overlap_mouse_MouseToHuman	hg38	CC	GO:CC
GO:0097708	intracellular vesicle	0.206559661797981	26895	1.2536782161963	0	0	136916	2380	2520	1.03403180998275	2.10943132184068e-10	9.67904448829205e-09	human_coord_hg38.Human_AdrenalGland.specific_no_overlap_mouse_MouseToHuman	hg38	CC	GO:CC
GO:0031410	cytoplasmic vesicle	0.205632199861948	26758	1.25291778102274	0	0	136981	2372	2512	1.03383809851591	2.89096884131673e-10	1.2773799361818e-08	human_coord_hg38.Human_AdrenalGland.specific_no_overlap_mouse_MouseToHuman	hg38	CC	GO:CC
GO:0031982	vesicle	0.304523216727873	39235	1.24054720095246	0	0	133610	3733	3966	1.03053503960104	1.41196431177195e-13	8.72745761200082e-12	human_coord_hg38.Human_AdrenalGland.specific_no_overlap_mouse_MouseToHuman	hg38	CC	GO:CC
GO:0031090	organelle membrane	0.288461245161549	36645	1.22317134132126	0	0	136705	3554	3758	1.03542376965558	6.91577623993931e-17	6.875434211873e-15	human_coord_hg38.Human_AdrenalGland.specific_no_overlap_mouse_MouseToHuman	hg38	CC	GO:CC
GO:0005654	nucleoplasm	0.332515319653645	42038	1.2172798465074	0	0	149529	3888	4144	1.02722124389384	1.42408043167976e-11	7.72239979542707e-10	human_coord_hg38.Human_AdrenalGland.specific_no_overlap_mouse_MouseToHuman	hg38	CC	GO:CC
GO:0031981	nuclear lumen	0.35590691328901	44656	1.20810154583575	0	0	148006	4218	4491	1.02830276423606	1.4631110833195e-13	8.72745761200082e-12	human_coord_hg38.Human_AdrenalGland.specific_no_overlap_mouse_MouseToHuman	hg38	CC	GO:CC
GO:0031974	membrane-enclosed lumen	0.423290323001344	52862	1.20244520607089	0	0	143029	5290	5639	1.02709605318588	2.25352931756913e-16	1.58144733874116e-14	human_coord_hg38.Human_AdrenalGland.specific_no_overlap_mouse_MouseToHuman	hg38	CC	GO:CC
GO:0043233	organelle lumen	0.423290323001344	52862	1.20244520607089	0	0	143029	5290	5639	1.02709605318588	2.25352931756913e-16	1.58144733874116e-14	human_coord_hg38.Human_AdrenalGland.specific_no_overlap_mouse_MouseToHuman	hg38	CC	GO:CC
GO:0070013	intracellular organelle lumen	0.423290323001344	52862	1.20244520607089	0	0	143029	5290	5639	1.02709605318588	2.25352931756913e-16	1.58144733874116e-14	human_coord_hg38.Human_AdrenalGland.specific_no_overlap_mouse_MouseToHuman	hg38	CC	GO:CC
GO:0012505	endomembrane system	0.376668592857941	46257	1.18243723824213	0	0	141593	4482	4756	1.03178091206363	5.9076112249956e-18	6.40707290129068e-16	human_coord_hg38.Human_AdrenalGland.specific_no_overlap_mouse_MouseToHuman	hg38	CC	GO:CC
GO:0043228	membraneless organelle	0.423068179458851	51367	1.16905215150511	0	0	153498	4896	5274	1.01638621595574	1.95058602441372e-06	4.65409825425114e-05	human_coord_hg38.Human_AdrenalGland.specific_no_overlap_mouse_MouseToHuman	hg38	CC	GO:CC
GO:0043232	intracellular membraneless organelle	0.42305364169307	51364	1.16902404587912	0	0	153505	4895	5273	1.01637133429547	1.99723028177172e-06	4.67195240422287e-05	human_coord_hg38.Human_AdrenalGland.specific_no_overlap_mouse_MouseToHuman	hg38	CC	GO:CC
GO:0032991	protein-containing complex	0.420726505780434	50731	1.161003675392	0	0	149066	5128	5518	1.01747513153368	1.790657115052e-07	5.38729975588477e-06	human_coord_hg38.Human_AdrenalGland.specific_no_overlap_mouse_MouseToHuman	hg38	CC	GO:CC
GO:0005737	cytoplasm	0.755929675426356	89932	1.14549421959306	0	0	144836	11157	11997	1.01819804103769	5.08624864151643e-27	1.01131577155485e-24	human_coord_hg38.Human_AdrenalGland.specific_no_overlap_mouse_MouseToHuman	hg38	CC	GO:CC
GO:0005634	nucleus	0.540019298985346	64195	1.14459532398868	0	0	147056	6999	7485	1.02376828547485	9.24974078855593e-19	1.10349407607472e-16	human_coord_hg38.Human_AdrenalGland.specific_no_overlap_mouse_MouseToHuman	hg38	CC	GO:CC
GO:0043231	intracellular membrane-bounded organelle	0.752172530158898	88303	1.13036326387955	0	0	144697	11256	12009	1.0262064087081	1.43853050959308e-53	8.58083448972272e-51	human_coord_hg38.Human_AdrenalGland.specific_no_overlap_mouse_MouseToHuman	hg38	CC	GO:CC
GO:0043229	intracellular organelle	0.789252063264588	92337	1.12647116515834	0	0	144929	12188	13075	1.02058276729842	1.53774923719957e-42	3.66906967995818e-40	human_coord_hg38.Human_AdrenalGland.specific_no_overlap_mouse_MouseToHuman	hg38	CC	GO:CC
GO:0043227	membrane-bounded organelle	0.789126806048902	91751	1.11949988926612	0	0	144562	12179	12993	1.02626537116383	5.4544097171822e-66	6.50711079259836e-63	human_coord_hg38.Human_AdrenalGland.specific_no_overlap_mouse_MouseToHuman	hg38	CC	GO:CC
GO:0005622	intracellular anatomical structure	0.839869873819097	97118	1.11339116740735	0	0	146303	13588	14622	1.01743398832067	2.04272884697937e-45	6.09243878611597e-43	human_coord_hg38.Human_AdrenalGland.specific_no_overlap_mouse_MouseToHuman	hg38	CC	GO:CC
GO:0043226	organelle	0.824077108097291	94932	1.10918713911301	0	0	146302	12880	13816	1.02068332890426	8.32611393894907e-51	3.31101797638875e-48	human_coord_hg38.Human_AdrenalGland.specific_no_overlap_mouse_MouseToHuman	hg38	CC	GO:CC
GO:0016020	membrane	0.65931906985488	74722	1.09122145254359	0	0	147518	8381	9119	1.00625049696095	0.00348560400405945	0.0297023255488781	human_coord_hg38.Human_AdrenalGland.specific_no_overlap_mouse_MouseToHuman	hg38	CC	GO:CC
GO:0110165	cellular anatomical structure	0.929756114070886	102587	1.06238842833611	0	0	147634	16230	17725	1.00251241340201	3.74043274147201e-07	1.03775261873863e-05	human_coord_hg38.Human_AdrenalGland.specific_no_overlap_mouse_MouseToHuman	hg38	CC	GO:CC
GO:0005575	cellular_component	0.931012191739998	102635	1.06145152021844	0	0	147574	16288	17786	1.00264445326457	3.44424622503037e-08	1.20852521954742e-06	human_coord_hg38.Human_AdrenalGland.specific_no_overlap_mouse_MouseToHuman	hg38	CC	GO:CC
GO:0005739	mitochondrion	0.128137018514998	17540	1.3179988134967	1.10762348812449e-311	4.55653386666387e-310	131444	1682	1782	1.03341741199702	2.43378725975989e-07	7.08172731925256e-06	human_coord_hg38.Human_AdrenalGland.specific_no_overlap_mouse_MouseToHuman	hg38	CC	GO:CC
GO:0005856	cytoskeleton	0.203605367683942	26107	1.23460431600852	1.35447123431073e-303	5.38628060844234e-302	152957	2166	2370	1.00061633674876	0.477174359168111	0.863646895045996	human_coord_hg38.Human_AdrenalGland.specific_no_overlap_mouse_MouseToHuman	hg38	CC	GO:CC
GO:0005615	extracellular space	0.242019208774743	30173	1.20040750192798	4.69858340905292e-280	1.80819677645165e-278	132163	2965	3196	1.01572328827909	0.000689349992708841	0.00768593029253876	human_coord_hg38.Human_AdrenalGland.specific_no_overlap_mouse_MouseToHuman	hg38	CC	GO:CC
GO:0098588	bounding membrane of organelle	0.189760346338674	24232	1.22954333762113	2.18441327033935e-266	8.1437657234839e-265	142480	2115	2217	1.04448488965065	4.10814536650617e-15	2.72278745680103e-13	human_coord_hg38.Human_AdrenalGland.specific_no_overlap_mouse_MouseToHuman	hg38	CC	GO:CC
GO:1902494	catalytic complex	0.132902081956477	17341	1.25632614770433	3.84755457070604e-215	1.39094927359161e-213	137384	1599	1733	1.01020004599041	0.0787026097144252	0.389020053303502	human_coord_hg38.Human_AdrenalGland.specific_no_overlap_mouse_MouseToHuman	hg38	CC	GO:CC
GO:0005925	focal adhesion	0.0381510403461708	6000	1.5142755494699	6.68292135111057e-208	2.3449191681985e-206	126711	407	423	1.05344417187229	5.18126607340259e-05	0.00078243676273029	human_coord_hg38.Human_AdrenalGland.specific_no_overlap_mouse_MouseToHuman	hg38	CC	GO:CC
GO:0030055	cell-substrate junction	0.0396843465742035	6126	1.48633876110316	3.26853954200603e-195	1.11410504960377e-193	127931	417	433	1.05440059308933	2.97984483721927e-05	0.000473993985440345	human_coord_hg38.Human_AdrenalGland.specific_no_overlap_mouse_MouseToHuman	hg38	CC	GO:CC
GO:0005768	endosome	0.0928935765992813	12481	1.29367070472911	1.93898368119635e-186	6.42557647685345e-185	137112	1009	1061	1.04119785623478	1.00411893669913e-06	2.49565394058762e-05	human_coord_hg38.Human_AdrenalGland.specific_no_overlap_mouse_MouseToHuman	hg38	CC	GO:CC
GO:0005783	endoplasmic reticulum	0.17135834866427	21398	1.20234183854871	2.99227362498225e-184	9.64806063406439e-183	137900	1935	2058	1.02942113821812	9.60878677327346e-07	2.43899630223729e-05	human_coord_hg38.Human_AdrenalGland.specific_no_overlap_mouse_MouseToHuman	hg38	CC	GO:CC
GO:0031984	organelle subcompartment	0.127208025087447	16365	1.2386868990729	1.92830569692562e-178	6.05386499061124e-177	138727	1445	1532	1.03268189900366	3.15479234809136e-06	7.10125900240187e-05	human_coord_hg38.Human_AdrenalGland.specific_no_overlap_mouse_MouseToHuman	hg38	CC	GO:CC
GO:0140513	nuclear protein-containing complex	0.0985287971657041	13069	1.27714210166912	3.64556872618176e-178	1.11517012572688e-176	143596	1176	1269	1.01461944809321	0.0421927032366996	0.245540951031135	human_coord_hg38.Human_AdrenalGland.specific_no_overlap_mouse_MouseToHuman	hg38	CC	GO:CC
GO:0015629	actin cytoskeleton	0.0527181975570709	7562	1.38113510687354	2.23810722702306e-166	6.67515480459627e-165	151675	502	523	1.05089544876888	1.93272515588196e-05	0.000324752269150306	human_coord_hg38.Human_AdrenalGland.specific_no_overlap_mouse_MouseToHuman	hg38	CC	GO:CC
GO:0005576	extracellular region	0.313912886197159	36728	1.1265440566726	2.69704090020117e-164	7.84773120473171e-163	139727	3750	4052	1.01325630297073	0.000924091432642644	0.00975611574462544	human_coord_hg38.Human_AdrenalGland.specific_no_overlap_mouse_MouseToHuman	hg38	CC	GO:CC
GO:0015630	microtubule cytoskeleton	0.122013355978557	15629	1.23334297229738	6.12140707455154e-163	1.73877110474762e-161	149784	1306	1385	1.03240687148331	1.15924608117209e-05	0.000206415011169895	human_coord_hg38.Human_AdrenalGland.specific_no_overlap_mouse_MouseToHuman	hg38	CC	GO:CC
