id	description	genome_fraction	observed_region_hits	fold_enrichment	p_value	p_adjust	mean_tss_dist	observed_gene_hits	gene_set_size	fold_enrichment_hyper	p_value_hyper	p_adjust_hyper	sample	genome	ontology	ontology_input
GO:0019899	enzyme binding	0.180202742135461	24298	1.29828242276659	0	0	144570	1933	2052	1.03136402925524	1.79815816150371e-07	9.97286180341673e-06	human_coord_hg38.Human_AdrenalGland.specific_no_overlap_mouse_MouseToHuman	hg38	MF	GO:MF
GO:0003824	catalytic activity	0.415498740591788	50356	1.1669212754566	0	0	138422	5118	5448	1.02853876719844	2.82614433379446e-17	1.22259003879948e-14	human_coord_hg38.Human_AdrenalGland.specific_no_overlap_mouse_MouseToHuman	hg38	MF	GO:MF
GO:0043167	ion binding	0.481398160894301	56371	1.12748651732626	0	0	147614	5653	6012	1.0294790105376	8.67379948589894e-21	4.69035707199985e-18	human_coord_hg38.Human_AdrenalGland.specific_no_overlap_mouse_MouseToHuman	hg38	MF	GO:MF
GO:0036094	small molecule binding	0.49281964439942	57699	1.12730211083488	0	0	146827	5831	6203	1.02919754873989	2.88884129611123e-21	2.0828545744962e-18	human_coord_hg38.Human_AdrenalGland.specific_no_overlap_mouse_MouseToHuman	hg38	MF	GO:MF
GO:0005515	protein binding	0.843117440899637	97296	1.11113533228189	0	0	147379	13324	14308	1.01956090813771	1.08303758826572e-51	2.34261030341876e-48	human_coord_hg38.Human_AdrenalGland.specific_no_overlap_mouse_MouseToHuman	hg38	MF	GO:MF
GO:0005488	binding	0.897082444117382	100945	1.08345904526614	0	0	147886	14882	16060	1.01454950234759	2.94430266277022e-51	3.18426332978599e-48	human_coord_hg38.Human_AdrenalGland.specific_no_overlap_mouse_MouseToHuman	hg38	MF	GO:MF
GO:0003674	molecular_function	0.92051304364007	102325	1.07031559018057	0	0	147625	15955	17417	1.0029538264135	4.17619522638916e-07	2.14909438719836e-05	human_coord_hg38.Human_AdrenalGland.specific_no_overlap_mouse_MouseToHuman	hg38	MF	GO:MF
GO:0044877	protein-containing complex binding	0.106856950683138	14920	1.34439253167999	5.00779458266097e-295	1.35398246028696e-292	140026	1204	1278	1.031461722634	4.4111063188519e-05	0.00156413491273388	human_coord_hg38.Human_AdrenalGland.specific_no_overlap_mouse_MouseToHuman	hg38	MF	GO:MF
GO:0030234	enzyme regulator activity	0.118297247807552	16104	1.31074788591148	4.03563802438165e-272	9.6989833852639e-270	146318	1230	1325	1.01635801434043	0.023134525440335	0.247722665977449	human_coord_hg38.Human_AdrenalGland.specific_no_overlap_mouse_MouseToHuman	hg38	MF	GO:MF
GO:0060090	molecular adaptor activity	0.118284496838609	15883	1.29289945978507	5.17458456643694e-243	1.11926264172031e-240	161403	1168	1243	1.02879583422826	0.000223805544462339	0.00532908900839733	human_coord_hg38.Human_AdrenalGland.specific_no_overlap_mouse_MouseToHuman	hg38	MF	GO:MF
GO:0043168	anion binding	0.206276953025248	25806	1.20456441764616	1.00764894377098e-236	1.98140424125148e-234	141765	2271	2393	1.03903916640385	1.03626754548476e-12	1.60103335777396e-10	human_coord_hg38.Human_AdrenalGland.specific_no_overlap_mouse_MouseToHuman	hg38	MF	GO:MF
GO:1901265	nucleoside phosphate binding	0.178682982748158	22589	1.21723338940147	2.40101274449172e-222	4.32782547194633e-220	137973	2006	2121	1.03549437265599	1.59458554010185e-09	1.18934087008286e-07	human_coord_hg38.Human_AdrenalGland.specific_no_overlap_mouse_MouseToHuman	hg38	MF	GO:MF
GO:0098772	molecular function regulator activity	0.194871265090124	24316	1.20144632972583	6.52692230437174e-214	1.08597945725816e-211	150384	2037	2192	1.01743801912912	0.0022133526678963	0.0374022017239039	human_coord_hg38.Human_AdrenalGland.specific_no_overlap_mouse_MouseToHuman	hg38	MF	GO:MF
GO:0000166	nucleotide binding	0.177703320065009	22399	1.21364908488978	7.10076176515826e-214	1.09706769271695e-211	138423	1989	2102	1.03599952037282	1.10232620001185e-09	8.83085766898383e-08	human_coord_hg38.Human_AdrenalGland.specific_no_overlap_mouse_MouseToHuman	hg38	MF	GO:MF
GO:1901363	heterocyclic compound binding	0.189994029681669	23707	1.20142507137898	3.13501527362261e-207	4.5206920245638e-205	138531	2134	2252	1.03748902635716	4.04697088600962e-11	4.60715685602043e-09	human_coord_hg38.Human_AdrenalGland.specific_no_overlap_mouse_MouseToHuman	hg38	MF	GO:MF
GO:0030674	protein-macromolecule adaptor activity	0.105674754629392	14084	1.28326046079334	9.04512127667781e-201	1.22278733259088e-198	158582	1030	1099	1.02611731290907	0.00157499604251375	0.0276968816256687	human_coord_hg38.Human_AdrenalGland.specific_no_overlap_mouse_MouseToHuman	hg38	MF	GO:MF
GO:0035639	purine ribonucleoside triphosphate binding	0.154098797026382	19605	1.22497617807675	4.50270778191563e-199	5.72903348957853e-197	141021	1702	1795	1.03813201804462	2.82072176444723e-09	2.03374039216645e-07	human_coord_hg38.Human_AdrenalGland.specific_no_overlap_mouse_MouseToHuman	hg38	MF	GO:MF
GO:0008092	cytoskeletal protein binding	0.0943534229763373	12743	1.30039133742818	5.18693383371955e-198	6.23296549018633e-196	141463	939	977	1.05227320442703	1.41308725784543e-09	1.0916099066856e-07	human_coord_hg38.Human_AdrenalGland.specific_no_overlap_mouse_MouseToHuman	hg38	MF	GO:MF
GO:0097367	carbohydrate derivative binding	0.194263989045885	24074	1.19320756659104	1.52014398398171e-196	1.73056391439602e-194	148137	2090	2221	1.03027986046431	1.46795611068102e-07	8.35576070369224e-06	human_coord_hg38.Human_AdrenalGland.specific_no_overlap_mouse_MouseToHuman	hg38	MF	GO:MF
GO:0017076	purine nucleotide binding	0.166524663577847	20971	1.21255269216993	9.82302386797641e-196	1.06236003132165e-193	140858	1840	1939	1.03895681663164	2.3771011054154e-10	2.44841413857786e-08	human_coord_hg38.Human_AdrenalGland.specific_no_overlap_mouse_MouseToHuman	hg38	MF	GO:MF
GO:0003723	RNA binding	0.119509651586858	15585	1.25563632522099	1.569142639758e-189	1.61621691895074e-187	126098	1545	1656	1.02147004247017	0.00128435711555677	0.0231505370079109	human_coord_hg38.Human_AdrenalGland.specific_no_overlap_mouse_MouseToHuman	hg38	MF	GO:MF
GO:0032553	ribonucleotide binding	0.161036871962391	20254	1.21100385173515	2.09827868240921e-185	2.06298945002324e-183	141832	1766	1861	1.03896713265264	5.73609464097303e-10	4.96286908336987e-08	human_coord_hg38.Human_AdrenalGland.specific_no_overlap_mouse_MouseToHuman	hg38	MF	GO:MF
GO:0032555	purine ribonucleotide binding	0.159794260457527	20069	1.20927368342737	8.23608271576474e-181	7.74549865834745e-179	142214	1750	1844	1.03904561740643	6.40940029313147e-10	5.3321280130936e-08	human_coord_hg38.Human_AdrenalGland.specific_no_overlap_mouse_MouseToHuman	hg38	MF	GO:MF
GO:0003676	nucleic acid binding	0.305581103599691	36025	1.13510892752801	1.58104971812003e-179	1.42492105845568e-177	150162	3683	3902	1.03340827947955	9.34583316424518e-16	3.36917285571039e-13	human_coord_hg38.Human_AdrenalGland.specific_no_overlap_mouse_MouseToHuman	hg38	MF	GO:MF
