id	description	genome_fraction	observed_region_hits	fold_enrichment	p_value	p_adjust	mean_tss_dist	observed_gene_hits	gene_set_size	fold_enrichment_hyper	p_value_hyper	p_adjust_hyper	sample	genome	ontology	ontology_input
GO:0008150	biological_process	0.93661805414107	15973	1.05806613725795	9.72709365871666e-271	8.8059378892362e-267	101754	10041	20017	1.01441797125544	6.34238375684953e-20	3.24393221190728e-18	mouse_coord_mm10.Mouse_AdrenalGland.specific_no_MouseToHuman_overlap_human_adrenal	mm10	BP	GO:BP
GO:0009987	cellular process	0.887793386855496	15532	1.0854362582215	1.51197358554547e-268	6.84394843497157e-265	101326	8976	17351	1.04615802468737	5.10079404731836e-47	1.53924961701244e-44	mouse_coord_mm10.Mouse_AdrenalGland.specific_no_MouseToHuman_overlap_human_adrenal	mm10	BP	GO:BP
GO:0008152	metabolic process	0.66172519114917	12482	1.1702950247749	3.62153885502278e-215	1.09285970848404e-211	101259	6124	10890	1.13722463469579	8.73955477725497e-93	7.91191893984892e-89	mouse_coord_mm10.Mouse_AdrenalGland.specific_no_MouseToHuman_overlap_human_adrenal	mm10	BP	GO:BP
GO:0044238	primary metabolic process	0.609912994883704	11554	1.175312419021	4.83857114422443e-178	1.09508961421659e-174	101232	5463	9696	1.13940350288628	1.25430919218421e-76	5.67763055842184e-73	mouse_coord_mm10.Mouse_AdrenalGland.specific_no_MouseToHuman_overlap_human_adrenal	mm10	BP	GO:BP
GO:0050896	response to stimulus	0.600836817550959	11363	1.1733438952868	5.94136604036952e-167	1.0757437352693e-163	105843	4908	9642	1.0293815583889	5.64505887696155e-05	0.000514131971963107	mouse_coord_mm10.Mouse_AdrenalGland.specific_no_MouseToHuman_overlap_human_adrenal	mm10	BP	GO:BP
GO:0002376	immune system process	0.191179052631435	4498	1.45971474335693	7.62615079118277e-161	1.15065905187629e-157	101796	1601	2728	1.18682291364653	2.25222286485558e-25	1.61660013519302e-23	mouse_coord_mm10.Mouse_AdrenalGland.specific_no_MouseToHuman_overlap_human_adrenal	mm10	BP	GO:BP
GO:0043170	macromolecule metabolic process	0.585227142963966	11050	1.17145784741866	2.86039675437777e-152	3.699310259626e-149	104827	5049	8888	1.14878903421154	9.22142206416487e-75	2.78271779822949e-71	mouse_coord_mm10.Mouse_AdrenalGland.specific_no_MouseToHuman_overlap_human_adrenal	mm10	BP	GO:BP
GO:0065007	biological regulation	0.754718569075107	13492	1.10912410886234	1.10802597386742e-142	1.25386989267772e-139	106941	6586	12609	1.0562823870988	3.23017746220948e-23	2.044950808768e-21	mouse_coord_mm10.Mouse_AdrenalGland.specific_no_MouseToHuman_overlap_human_adrenal	mm10	BP	GO:BP
GO:0050789	regulation of biological process	0.74256774883119	13300	1.11123114861498	4.42694540721033e-138	4.45301519683056e-135	107598	6385	12189	1.05933124291324	1.02336693924406e-23	6.81216242718857e-22	mouse_coord_mm10.Mouse_AdrenalGland.specific_no_MouseToHuman_overlap_human_adrenal	mm10	BP	GO:BP
GO:0051716	cellular response to stimulus	0.525231710957206	10039	1.18584619382218	6.06758595957173e-138	5.49298556920029e-135	106679	4090	7972	1.03751641014235	1.40705783085086e-05	0.000150213379041189	mouse_coord_mm10.Mouse_AdrenalGland.specific_no_MouseToHuman_overlap_human_adrenal	mm10	BP	GO:BP
GO:0035556	intracellular signal transduction	0.265591392676436	5686	1.32825575927033	6.80187820131421e-131	5.5979457596816e-128	109668	1890	2983	1.28129020873193	3.60134641941198e-61	2.50792224114897e-58	mouse_coord_mm10.Mouse_AdrenalGland.specific_no_MouseToHuman_overlap_human_adrenal	mm10	BP	GO:BP
GO:0048518	positive regulation of biological process	0.501190349004582	9616	1.19036624634899	1.07994408679306e-130	8.147278181448e-128	107775	3768	6414	1.18801218514189	9.43232942082442e-72	1.70781756493447e-68	mouse_coord_mm10.Mouse_AdrenalGland.specific_no_MouseToHuman_overlap_human_adrenal	mm10	BP	GO:BP
GO:0050794	regulation of cellular process	0.727947463780134	13040	1.11138978990313	2.0519894053071e-127	1.42897385278809e-124	107290	6206	11820	1.06177684789342	6.40462790893754e-24	4.32694749698594e-22	mouse_coord_mm10.Mouse_AdrenalGland.specific_no_MouseToHuman_overlap_human_adrenal	mm10	BP	GO:BP
GO:0006950	response to stress	0.286316467970453	6023	1.30513484209277	1.57324878365904e-126	1.01733008846181e-123	97708	2327	4041	1.16451876045538	6.3070713896449e-31	6.0742465202612e-29	mouse_coord_mm10.Mouse_AdrenalGland.specific_no_MouseToHuman_overlap_human_adrenal	mm10	BP	GO:BP
GO:0048583	regulation of response to stimulus	0.349598003688454	7073	1.25523072918492	4.76341420280033e-121	2.87487925186342e-118	107444	2538	4152	1.23615585297567	7.27179021204701e-64	6.58315167896616e-61	mouse_coord_mm10.Mouse_AdrenalGland.specific_no_MouseToHuman_overlap_human_adrenal	mm10	BP	GO:BP
GO:0009058	biosynthetic process	0.520794505326896	9838	1.17200448397162	3.98540348868944e-116	2.2549911114441e-113	103974	4379	7677	1.15351264893506	7.45321172215909e-63	6.13399324733693e-60	mouse_coord_mm10.Mouse_AdrenalGland.specific_no_MouseToHuman_overlap_human_adrenal	mm10	BP	GO:BP
GO:0048522	positive regulation of cellular process	0.484621210985015	9253	1.18459253701114	9.78229046815977e-115	5.20935738872061e-112	109010	3581	6073	1.19244950181697	1.22784406703428e-69	1.5879531912659e-66	mouse_coord_mm10.Mouse_AdrenalGland.specific_no_MouseToHuman_overlap_human_adrenal	mm10	BP	GO:BP
GO:0048523	negative regulation of cellular process	0.435128137400902	8406	1.19856355133347	1.24511163091274e-107	6.26221977480724e-105	114811	3177	5331	1.20516771489715	2.45320434054068e-66	2.46765098832386e-63	mouse_coord_mm10.Mouse_AdrenalGland.specific_no_MouseToHuman_overlap_human_adrenal	mm10	BP	GO:BP
GO:0019538	protein metabolic process	0.331972944471323	6682	1.24879925041522	2.57874090968213e-106	1.22870218186065e-103	99456	2671	4596	1.17525694047976	1.2594860859988e-40	2.47872337751024e-38	mouse_coord_mm10.Mouse_AdrenalGland.specific_no_MouseToHuman_overlap_human_adrenal	mm10	BP	GO:BP
GO:0048519	negative regulation of biological process	0.449291590267018	8617	1.18991695247021	1.08457531942815e-104	4.90933018339151e-102	114073	3306	5561	1.20223373645181	3.65946643517228e-68	4.14114370470183e-65	mouse_coord_mm10.Mouse_AdrenalGland.specific_no_MouseToHuman_overlap_human_adrenal	mm10	BP	GO:BP
GO:0002682	regulation of immune system process	0.127138152710953	2995	1.46153687884782	2.32394651155762e-99	1.00184227472053e-96	104524	1018	1678	1.22685935294442	4.62825173127846e-22	2.75655019231999e-20	mouse_coord_mm10.Mouse_AdrenalGland.specific_no_MouseToHuman_overlap_human_adrenal	mm10	BP	GO:BP
GO:0007165	signal transduction	0.456627928236778	8697	1.18166901640625	5.78430890960959e-99	2.38024311630434e-96	108347	3308	6515	1.02680987670109	0.00523007735938352	0.0233391885203436	mouse_coord_mm10.Mouse_AdrenalGland.specific_no_MouseToHuman_overlap_human_adrenal	mm10	BP	GO:BP
GO:0009056	catabolic process	0.181500792164881	3988	1.36321850671932	1.16413107888585e-96	4.58212115528416e-94	95595	1545	2685	1.16365208046666	1.47567484662471e-19	7.34026614642502e-18	mouse_coord_mm10.Mouse_AdrenalGland.specific_no_MouseToHuman_overlap_human_adrenal	mm10	BP	GO:BP
GO:0006996	organelle organization	0.265994302351693	5486	1.27959436168559	1.68443885757331e-96	6.3538437406713e-94	97374	2088	3590	1.17618328252312	1.01218520773928e-30	9.54511738089971e-29	mouse_coord_mm10.Mouse_AdrenalGland.specific_no_MouseToHuman_overlap_human_adrenal	mm10	BP	GO:BP
GO:0019222	regulation of metabolic process	0.476176450637389	8993	1.17172454756279	3.9682250855735e-96	1.43697366798788e-93	108869	3726	6415	1.17458688249712	3.8690280446946e-62	2.91885924071835e-59	mouse_coord_mm10.Mouse_AdrenalGland.specific_no_MouseToHuman_overlap_human_adrenal	mm10	BP	GO:BP
GO:0010467	gene expression	0.447103695607441	8522	1.1825570970178	4.96302182311658e-96	1.72808602171824e-93	109037	3572	6268	1.1524482134953	2.47027273005248e-46	6.5774644191662e-44	mouse_coord_mm10.Mouse_AdrenalGland.specific_no_MouseToHuman_overlap_human_adrenal	mm10	BP	GO:BP
GO:0009059	macromolecule biosynthetic process	0.476149355861437	8991	1.17153062257093	6.63414600937305e-96	2.22440458603164e-93	107801	3829	6696	1.15640211672978	2.43924562189903e-53	9.60108287610953e-51	mouse_coord_mm10.Mouse_AdrenalGland.specific_no_MouseToHuman_overlap_human_adrenal	mm10	BP	GO:BP
GO:0006955	immune response	0.115158753931159	2725	1.46810932844445	3.62987789644785e-91	1.17361730701937e-88	78279	1043	1858	1.13521352151747	8.83688586432518e-10	1.85185943818833e-08	mouse_coord_mm10.Mouse_AdrenalGland.specific_no_MouseToHuman_overlap_human_adrenal	mm10	BP	GO:BP
GO:0071840	cellular component organization or biogenesis	0.527238164970307	9767	1.14932590753577	2.86034750962769e-90	8.92921586367568e-88	105240	4099	7063	1.17362045080005	1.66545310994758e-70	2.51289116739257e-67	mouse_coord_mm10.Mouse_AdrenalGland.specific_no_MouseToHuman_overlap_human_adrenal	mm10	BP	GO:BP
GO:0044419	biological process involved in interspecies interaction between organisms	0.118203720028735	2765	1.45128544463532	9.99777926473951e-88	3.01699652278956e-85	84157	1013	1822	1.12434612979857	2.22705708614664e-08	3.98449561282323e-07	mouse_coord_mm10.Mouse_AdrenalGland.specific_no_MouseToHuman_overlap_human_adrenal	mm10	BP	GO:BP
GO:0016043	cellular component organization	0.52062339094244	9639	1.14867495565266	4.44760917431876e-87	1.29884535016477e-84	105414	4006	6869	1.17938713249275	3.66996262725801e-72	8.30604291614169e-69	mouse_coord_mm10.Mouse_AdrenalGland.specific_no_MouseToHuman_overlap_human_adrenal	mm10	BP	GO:BP
GO:0030097	hemopoiesis	0.0953267055914532	2307	1.50148797583069	6.04963458580988e-84	1.71147943454178e-81	122146	689	1067	1.30585140022415	1.30245165734139e-24	8.93264761659971e-23	mouse_coord_mm10.Mouse_AdrenalGland.specific_no_MouseToHuman_overlap_human_adrenal	mm10	BP	GO:BP
GO:0048584	positive regulation of response to stimulus	0.210892763874288	4434	1.30443624865847	1.62797079382678e-83	4.46606654439812e-81	106525	1506	2454	1.24105026048108	1.24870974276616e-36	1.7663389533222e-34	mouse_coord_mm10.Mouse_AdrenalGland.specific_no_MouseToHuman_overlap_human_adrenal	mm10	BP	GO:BP
GO:0009966	regulation of signal transduction	0.289977522376475	5803	1.24158679306125	2.39455343054956e-82	6.37585064904857e-80	111574	1962	3137	1.2648046131383	1.48795746437863e-57	8.98031928334647e-55	mouse_coord_mm10.Mouse_AdrenalGland.specific_no_MouseToHuman_overlap_human_adrenal	mm10	BP	GO:BP
GO:0060255	regulation of macromolecule metabolic process	0.448614717936914	8443	1.16764848515737	7.42697254539709e-82	1.92103949867085e-79	111203	3436	5899	1.17791435800134	1.74365433007047e-57	9.86581415633e-55	mouse_coord_mm10.Mouse_AdrenalGland.specific_no_MouseToHuman_overlap_human_adrenal	mm10	BP	GO:BP
GO:0002684	positive regulation of immune system process	0.0830172218537936	2053	1.53429758756086	3.77841759350419e-81	9.5016706872204e-79	91608	705	1165	1.22377660981283	4.05536512554269e-15	1.49240733664788e-13	mouse_coord_mm10.Mouse_AdrenalGland.specific_no_MouseToHuman_overlap_human_adrenal	mm10	BP	GO:BP
GO:0009893	positive regulation of metabolic process	0.311118387317032	6154	1.22721501855382	4.89860394435861e-81	1.19856922995347e-78	114758	2207	3683	1.21182406002018	6.52276757678827e-45	1.59596256412606e-42	mouse_coord_mm10.Mouse_AdrenalGland.specific_no_MouseToHuman_overlap_human_adrenal	mm10	BP	GO:BP
GO:0006796	phosphate-containing compound metabolic process	0.198632839697682	4195	1.3102970471755	2.67127002866478e-80	6.36394936039533e-78	104024	1433	2329	1.24427294602985	1.57311775881548e-35	2.12558732396366e-33	mouse_coord_mm10.Mouse_AdrenalGland.specific_no_MouseToHuman_overlap_human_adrenal	mm10	BP	GO:BP
GO:0006793	phosphorus metabolic process	0.199284745279933	4197	1.30663341961393	7.66815555103845e-79	1.77999518470644e-76	104007	1435	2332	1.24440661646767	1.29111676422236e-35	1.77098182825834e-33	mouse_coord_mm10.Mouse_AdrenalGland.specific_no_MouseToHuman_overlap_human_adrenal	mm10	BP	GO:BP
GO:0036211	protein modification process	0.226093582469663	4670	1.28149670481966	1.02902508211841e-78	2.32894101710448e-76	99776	1661	2668	1.25899140082483	4.96730278516424e-46	1.28482834611691e-43	mouse_coord_mm10.Mouse_AdrenalGland.specific_no_MouseToHuman_overlap_human_adrenal	mm10	BP	GO:BP
GO:0051179	localization	0.411062180746517	7803	1.17772239528802	2.02211321158541e-78	4.46492461084943e-76	105997	3161	5379	1.18839798879419	7.12488198244897e-57	3.22507782935552e-54	mouse_coord_mm10.Mouse_AdrenalGland.specific_no_MouseToHuman_overlap_human_adrenal	mm10	BP	GO:BP
GO:0043412	macromolecule modification	0.234345018225463	4808	1.27290965894768	9.19117141950416e-78	1.98113511573265e-75	99022	1740	2823	1.24645707411088	1.64252301529943e-44	3.81275919423225e-42	mouse_coord_mm10.Mouse_AdrenalGland.specific_no_MouseToHuman_overlap_human_adrenal	mm10	BP	GO:BP
GO:0051707	response to other organism	0.108429499243589	2508	1.43505626373841	1.96200643826508e-74	4.13070797339855e-72	82577	926	1681	1.113992404808	8.09228496130195e-07	1.14289322550182e-05	mouse_coord_mm10.Mouse_AdrenalGland.specific_no_MouseToHuman_overlap_human_adrenal	mm10	BP	GO:BP
GO:0009892	negative regulation of metabolic process	0.254770545802619	5139	1.25146367637172	2.32760380033499e-74	4.78904481918923e-72	119105	1768	2943	1.21487320978674	7.68839211781836e-36	1.07081559757861e-33	mouse_coord_mm10.Mouse_AdrenalGland.specific_no_MouseToHuman_overlap_human_adrenal	mm10	BP	GO:BP
GO:0043207	response to external biotic stimulus	0.108810351684741	2510	1.43117373049924	1.70128572359624e-73	3.42260881238151e-71	82527	927	1685	1.11254807218504	1.06321846614751e-06	1.458381329399e-05	mouse_coord_mm10.Mouse_AdrenalGland.specific_no_MouseToHuman_overlap_human_adrenal	mm10	BP	GO:BP
GO:0080090	regulation of primary metabolic process	0.421506816501385	7935	1.16796862716227	1.93014216997212e-73	3.79860370972992e-71	110513	3163	5418	1.18059012920322	6.72638223974301e-53	2.43575753665574e-50	mouse_coord_mm10.Mouse_AdrenalGland.specific_no_MouseToHuman_overlap_human_adrenal	mm10	BP	GO:BP
GO:0023052	signaling	0.497983679211245	9171	1.14259003603324	4.01994794443328e-73	7.74310398743713e-71	110376	3570	7015	1.02915194068274	0.00162943003915773	0.00907914308603611	mouse_coord_mm10.Mouse_AdrenalGland.specific_no_MouseToHuman_overlap_human_adrenal	mm10	BP	GO:BP
GO:1902531	regulation of intracellular signal transduction	0.187257345755552	3944	1.30673309849017	4.68235902162315e-73	8.83112421307382e-71	110029	1266	1994	1.28394821631337	3.20204604499484e-40	6.1676857117741e-38	mouse_coord_mm10.Mouse_AdrenalGland.specific_no_MouseToHuman_overlap_human_adrenal	mm10	BP	GO:BP
GO:0042221	response to chemical	0.316855308205435	6174	1.20891143775913	7.10089481285805e-71	1.31192654573069e-68	103814	2280	4249	1.08514324805163	4.45246685281903e-10	9.73627594651465e-09	mouse_coord_mm10.Mouse_AdrenalGland.specific_no_MouseToHuman_overlap_human_adrenal	mm10	BP	GO:BP
GO:0009889	regulation of biosynthetic process	0.404441857377358	7631	1.17061532657025	1.71570514607686e-70	3.10645573748676e-68	111151	3055	5214	1.1848930287441	1.08279201906045e-52	3.77019851867471e-50	mouse_coord_mm10.Mouse_AdrenalGland.specific_no_MouseToHuman_overlap_human_adrenal	mm10	BP	GO:BP
GO:0007154	cell communication	0.501580389284486	9200	1.13798392609003	1.31552832955362e-69	2.33519175832332e-67	110745	3586	7049	1.02877814871361	0.00177890844514391	0.00969564006856583	mouse_coord_mm10.Mouse_AdrenalGland.specific_no_MouseToHuman_overlap_human_adrenal	mm10	BP	GO:BP
GO:0010468	regulation of gene expression	0.385799444355848	7316	1.17652442461874	1.4076763594746e-69	2.45071040044683e-67	112823	2875	4891	1.18871883151768	1.47062381121858e-50	4.59088184929717e-48	mouse_coord_mm10.Mouse_AdrenalGland.specific_no_MouseToHuman_overlap_human_adrenal	mm10	BP	GO:BP
