id	description	genome_fraction	observed_region_hits	fold_enrichment	p_value	p_adjust	mean_tss_dist	observed_gene_hits	gene_set_size	fold_enrichment_hyper	p_value_hyper	p_adjust_hyper	sample	genome	ontology	ontology_input
GO:0005737	cytoplasm	0.691962263099807	13436	1.20469312901468	0	0	99419	6646	11663	1.15236223680886	7.16172878419498e-132	2.01781708494694e-129	mouse_coord_mm10.Mouse_AdrenalGland.specific_no_MouseToHuman_overlap_human_adrenal	mm10	CC	GO:CC
GO:0043229	intracellular organelle	0.736560152135743	14012	1.18026833938891	0	0	100580	7265	12812	1.14672068150737	5.75634997502088e-153	2.16246880728285e-150	mouse_coord_mm10.Mouse_AdrenalGland.specific_no_MouseToHuman_overlap_human_adrenal	mm10	CC	GO:CC
GO:0005622	intracellular anatomical structure	0.790429719093745	14792	1.16105417892752	0	0	100635	8075	14386	1.13511910069561	2.15487888121524e-180	2.42854849912957e-177	mouse_coord_mm10.Mouse_AdrenalGland.specific_no_MouseToHuman_overlap_human_adrenal	mm10	CC	GO:CC
GO:0043226	organelle	0.760661647312648	14158	1.15477995575368	5.52584450425682e-311	1.55690668907436e-308	101555	7440	13156	1.14363655158433	3.96271674354981e-157	2.23299088499032e-154	mouse_coord_mm10.Mouse_AdrenalGland.specific_no_MouseToHuman_overlap_human_adrenal	mm10	CC	GO:CC
GO:0043227	membrane-bounded organelle	0.716618238774136	13556	1.17363364596431	9.14633131463476e-302	2.06158307831867e-299	100871	6879	12173	1.142790559414	6.50927255242082e-128	1.46719003331565e-125	mouse_coord_mm10.Mouse_AdrenalGland.specific_no_MouseToHuman_overlap_human_adrenal	mm10	CC	GO:CC
GO:0043231	intracellular membrane-bounded organelle	0.698443237644183	13295	1.18098960060832	6.93464519000239e-297	1.30255752152212e-294	100409	6613	11675	1.14546174612134	1.29563551253766e-120	2.43363537104991e-118	mouse_coord_mm10.Mouse_AdrenalGland.specific_no_MouseToHuman_overlap_human_adrenal	mm10	CC	GO:CC
GO:0005575	cellular_component	0.943508507523768	16035	1.05441601193162	1.05175594337541e-284	1.69332706883441e-282	101400	10169	20396	1.00825921659945	3.27874029601641e-11	7.69820898668853e-10	mouse_coord_mm10.Mouse_AdrenalGland.specific_no_MouseToHuman_overlap_human_adrenal	mm10	CC	GO:CC
GO:0110165	cellular anatomical structure	0.911793910234074	15776	1.07346789175804	2.20966204963747e-276	3.11286141242679e-274	100886	9555	18802	1.02769820891072	7.88828571910304e-31	7.40841500452427e-29	mouse_coord_mm10.Mouse_AdrenalGland.specific_no_MouseToHuman_overlap_human_adrenal	mm10	CC	GO:CC
GO:0005829	cytosol	0.300692196360922	6426	1.32588974758922	3.12744169927259e-154	3.91625199453357e-152	95723	2483	4148	1.21053382312676	4.73580002103146e-51	6.67155827962807e-49	mouse_coord_mm10.Mouse_AdrenalGland.specific_no_MouseToHuman_overlap_human_adrenal	mm10	CC	GO:CC
GO:0005634	nucleus	0.501904479956597	9592	1.18570580604051	8.11532052062392e-125	9.14596622674315e-123	106966	4140	7257	1.15367152806012	6.83048072454137e-58	1.09970739665116e-55	mouse_coord_mm10.Mouse_AdrenalGland.specific_no_MouseToHuman_overlap_human_adrenal	mm10	CC	GO:CC
GO:0031090	organelle membrane	0.235818365694657	4962	1.3054732680415	4.02654602185126e-97	4.12537942420579e-95	93740	1976	3423	1.16739814183714	1.82541648072241e-26	1.14291354098564e-24	mouse_coord_mm10.Mouse_AdrenalGland.specific_no_MouseToHuman_overlap_human_adrenal	mm10	CC	GO:CC
GO:0043232	intracellular membraneless organelle	0.351369509272917	6933	1.22418196387547	6.04461165346172e-95	5.67689777787614e-93	103278	2793	4881	1.15718044144437	1.49580435211997e-35	1.71600688850376e-33	mouse_coord_mm10.Mouse_AdrenalGland.specific_no_MouseToHuman_overlap_human_adrenal	mm10	CC	GO:CC
GO:0043228	membraneless organelle	0.351506965761744	6934	1.22387975274523	9.33496136880766e-95	8.0926934328048e-93	103267	2794	4883	1.15712062335439	1.52263255412934e-35	1.71600688850376e-33	mouse_coord_mm10.Mouse_AdrenalGland.specific_no_MouseToHuman_overlap_human_adrenal	mm10	CC	GO:CC
GO:0012505	endomembrane system	0.319976285774587	6298	1.22116321042256	3.37717105287286e-80	2.71862269756265e-78	96390	2493	4375	1.1523467405315	2.23126919199897e-29	1.79617169955917e-27	mouse_coord_mm10.Mouse_AdrenalGland.specific_no_MouseToHuman_overlap_human_adrenal	mm10	CC	GO:CC
GO:0005739	mitochondrion	0.119856537999824	2718	1.40694322273378	1.48566582733419e-73	1.11623025827042e-71	91182	1102	1898	1.17415205627125	1.98799405134453e-15	7.00146654957901e-14	mouse_coord_mm10.Mouse_AdrenalGland.specific_no_MouseToHuman_overlap_human_adrenal	mm10	CC	GO:CC
GO:0097708	intracellular vesicle	0.167937057956907	3595	1.32813188360745	1.05504385485246e-72	7.43146515261699e-71	97973	1277	2177	1.18623688744781	5.90425291253122e-20	2.46447890089729e-18	mouse_coord_mm10.Mouse_AdrenalGland.specific_no_MouseToHuman_overlap_human_adrenal	mm10	CC	GO:CC
GO:0031410	cytoplasmic vesicle	0.167126076419662	3570	1.325295878005	4.05041378594753e-71	2.68518608044875e-69	97722	1271	2169	1.18501802170429	1.20812332450328e-19	4.86269638112571e-18	mouse_coord_mm10.Mouse_AdrenalGland.specific_no_MouseToHuman_overlap_human_adrenal	mm10	CC	GO:CC
GO:0070013	intracellular organelle lumen	0.357682586781674	6846	1.18748448927316	3.31685123384247e-69	2.07671741141137e-67	103449	2730	4849	1.13854295282912	8.17624874272914e-28	6.14308822203716e-26	mouse_coord_mm10.Mouse_AdrenalGland.specific_no_MouseToHuman_overlap_human_adrenal	mm10	CC	GO:CC
GO:0015629	actin cytoskeleton	0.0475427996639322	1284	1.67559524692881	4.03400401622179e-69	2.39280132962209e-67	94416	349	537	1.31428665398985	1.41682711554372e-13	4.09426707491737e-12	mouse_coord_mm10.Mouse_AdrenalGland.specific_no_MouseToHuman_overlap_human_adrenal	mm10	CC	GO:CC
GO:0005856	cytoskeleton	0.18507980833036	3878	1.29998281801199	4.52419221483804e-69	2.54938231306123e-67	102979	1390	2367	1.18755983011107	5.03783697927607e-22	2.70363917887816e-20	mouse_coord_mm10.Mouse_AdrenalGland.specific_no_MouseToHuman_overlap_human_adrenal	mm10	CC	GO:CC
GO:0031974	membrane-enclosed lumen	0.358147346003485	6846	1.18594351912971	2.94745806573401e-68	1.50990238185556e-66	103449	2730	4850	1.13830820170482	9.85194031346941e-28	6.53125690192943e-26	mouse_coord_mm10.Mouse_AdrenalGland.specific_no_MouseToHuman_overlap_human_adrenal	mm10	CC	GO:CC
GO:0043233	organelle lumen	0.358147346003485	6846	1.18594351912971	2.94745806573401e-68	1.50990238185556e-66	103449	2730	4850	1.13830820170482	9.85194031346941e-28	6.53125690192943e-26	mouse_coord_mm10.Mouse_AdrenalGland.specific_no_MouseToHuman_overlap_human_adrenal	mm10	CC	GO:CC
GO:0005654	nucleoplasm	0.289251964132637	5669	1.21595916058971	2.97092677903715e-66	1.4557541217282e-64	108975	2141	3776	1.14663089226274	4.23090648338378e-23	2.38411580338676e-21	mouse_coord_mm10.Mouse_AdrenalGland.specific_no_MouseToHuman_overlap_human_adrenal	mm10	CC	GO:CC
GO:0031982	vesicle	0.17815037622636	3732	1.29970185799826	7.7222472391881e-66	3.62623859940208e-64	97175	1353	2312	1.18344730075242	1.2182125429344e-20	5.72052306619611e-19	mouse_coord_mm10.Mouse_AdrenalGland.specific_no_MouseToHuman_overlap_human_adrenal	mm10	CC	GO:CC
