id	description	genome_fraction	observed_region_hits	fold_enrichment	p_value	p_adjust	mean_tss_dist	observed_gene_hits	gene_set_size	fold_enrichment_hyper	p_value_hyper	p_adjust_hyper	sample	genome	ontology	ontology_input
GO:0003674	molecular_function	0.929240514616254	15985	1.0672676667407	0	0	101386	10015	20100	1.00761321058367	3.53906904915947e-07	8.46907453856998e-06	mouse_coord_mm10.Mouse_AdrenalGland.specific_no_MouseToHuman_overlap_human_adrenal	mm10	MF	GO:MF
GO:0005488	binding	0.796898227638936	14380	1.11955355590455	8.43352631669983e-230	8.67809857988412e-227	101946	7533	13861	1.09903711879024	3.73949237555789e-87	3.84793765444907e-84	mouse_coord_mm10.Mouse_AdrenalGland.specific_no_MouseToHuman_overlap_human_adrenal	mm10	MF	GO:MF
GO:0005515	protein binding	0.652651133157154	11993	1.14008067934322	4.71695270280948e-138	3.2358295541273e-135	103447	5449	9527	1.15664370692681	2.96630729003067e-93	6.10466040288312e-90	mouse_coord_mm10.Mouse_AdrenalGland.specific_no_MouseToHuman_overlap_human_adrenal	mm10	MF	GO:MF
GO:0003824	catalytic activity	0.370850060930064	7345	1.22880308774902	1.12977308021402e-107	5.81268249770114e-105	96325	3140	5527	1.14889182731743	1.67223065741541e-37	6.88290138592184e-35	mouse_coord_mm10.Mouse_AdrenalGland.specific_no_MouseToHuman_overlap_human_adrenal	mm10	MF	GO:MF
GO:0019899	enzyme binding	0.189012138727424	4072	1.33661681876408	4.8972922629985e-88	2.01572549545018e-85	110750	1448	2359	1.24130806636149	3.45000336856201e-35	1.18335115541677e-32	mouse_coord_mm10.Mouse_AdrenalGland.specific_no_MouseToHuman_overlap_human_adrenal	mm10	MF	GO:MF
GO:0036094	small molecule binding	0.418492301526529	7989	1.18438744894497	6.91353829276686e-87	2.37134363441903e-84	101693	3289	5675	1.17202523927158	3.60564685717015e-51	2.47347374401872e-48	mouse_coord_mm10.Mouse_AdrenalGland.specific_no_MouseToHuman_overlap_human_adrenal	mm10	MF	GO:MF
GO:0043167	ion binding	0.408379389243176	7792	1.18378811969363	9.53427937946722e-83	2.80307813756336e-80	103090	3175	5465	1.17487731927129	2.79934026968807e-50	1.44026056875451e-47	mouse_coord_mm10.Mouse_AdrenalGland.specific_no_MouseToHuman_overlap_human_adrenal	mm10	MF	GO:MF
GO:0043168	anion binding	0.17827160357366	3780	1.31552309655913	1.43335957161859e-72	3.68731749798883e-70	96434	1426	2390	1.2065923879735	1.29442056442167e-26	2.66391752157979e-24	mouse_coord_mm10.Mouse_AdrenalGland.specific_no_MouseToHuman_overlap_human_adrenal	mm10	MF	GO:MF
GO:1901265	nucleoside phosphate binding	0.152534129571698	3301	1.34266400051549	2.20071751223434e-70	5.03230737797585e-68	90809	1260	2094	1.21683817021565	2.16579958298514e-25	4.05201412889401e-23	mouse_coord_mm10.Mouse_AdrenalGland.specific_no_MouseToHuman_overlap_human_adrenal	mm10	MF	GO:MF
GO:0000166	nucleotide binding	0.151668719768713	3276	1.34009849895324	6.06140707487628e-69	1.24743757600954e-66	91167	1244	2071	1.21472854758029	1.18861090210592e-24	2.03846769711165e-22	mouse_coord_mm10.Mouse_AdrenalGland.specific_no_MouseToHuman_overlap_human_adrenal	mm10	MF	GO:MF
